@relation 13-14-sin

@attribute tiempoTeoria numeric
@attribute diasTeoria numeric
@attribute tiempoTarea numeric
@attribute diasTarea numeric
@attribute diasEntrega numeric
@attribute tiempoForo numeric
@attribute diasForo numeric
@attribute DiasPostea numeric
@attribute numAcciones numeric

@data
0,13.18,0,13.18,13.18,0,13.18,13.18,0
0,13.18,0,11.26,13.18,0,11.8,13.18,0.33
1,0.27,4.67,0.29,0.42,5.11,0.27,0.27,9.33
0.11,12.37,0.33,9.48,13.18,1.44,10.45,12.22,2.89
0.11,6.47,5.44,1.74,3.29,7.56,1.1,1.36,8.22
2,9.5,3.33,3.9,10.13,5.78,6.41,10.4,12.78
4.89,6.53,7.44,4.97,9.39,11.11,9.34,11.42,10.67
2.11,5.8,6,2.85,10.03,6.22,3.03,8.31,12.44
1.78,2.23,4.67,2.22,7.48,7.78,5.36,6.36,12
3.44,0.62,6.44,0.63,0.67,6.44,0.64,0.65,10.22
1.67,1.36,4.56,1.15,8.26,11.22,1.37,8.38,12.33
0,13.18,7.67,5.93,10.41,9.44,5.62,7.73,7.56
5.22,4.85,5.22,2.9,5.29,15.22,2.07,2.37,13.67
0,13.18,0,13.18,13.18,0,13.18,13.18,0
1.78,9.2,7.11,6.71,10.4,5.78,7.49,9.2,10.11
1.11,4.9,4.33,3.1,5.38,6,4.53,5.95,11.56
0,13.18,0,13.18,13.18,0,13.18,13.18,0
0,12.47,3.11,9.34,12.26,1.44,9.33,10.79,4.67
5.67,7.12,1.78,4.73,8.62,5.78,4.73,7.14,9.44
2.56,1.2,6,0.69,2.22,8.89,0.77,1.69,10.22
0,12.47,1.67,9.04,12.48,3.22,8.53,10.89,5.33
0,13.11,1,11.57,13.11,0,13.14,13.18,1.67
1,1.56,2.78,1.3,1.58,5.89,1.44,1.59,10.56
5.67,4.47,7.33,4.48,4.54,8.44,4.52,4.53,9.78
0.44,8.29,3.78,1.22,1.77,9,1.22,1.57,11.56
4.33,3.54,2.33,3.75,7.01,4.22,4.8,4.8,7.78
8.56,2.11,7.11,2.6,2.88,7.22,1.94,2.74,13.44
0.22,11,6.89,4.12,9.53,6,9.56,9.56,10.67
4.78,6.54,7.78,4.72,6.6,5,5.67,6.59,12.11
0,10.58,2.89,7.11,7.8,2.56,7.71,10.06,4.78
0,13.18,0,13.18,13.18,0,13.18,13.18,0
0,13.18,0,13.18,13.18,0,13.18,13.18,0
1,1.55,6.67,0.81,2.77,21.44,2.04,4.07,22.67
3.11,4.1,4.89,3.49,5.53,6.44,3.8,4.17,10.78
2.22,4.9,4.78,4.15,5.98,6.89,4.91,4.92,8.33
0.44,12.57,5.22,7.25,12.04,3.44,6.28,8.42,8.44
2.56,2.41,6,2.1,5.63,9.44,1.05,3.42,14.56
0,13.18,0.22,11.71,13.18,0,13.18,13.18,0.11
0.67,7.66,5.78,5.57,9.71,5,8.22,8.9,8.11
0.22,8.97,2.33,6.38,9.09,4.22,6.38,6.92,6.89
3.67,5.15,5.67,3.33,5.82,9.56,3.93,5.17,10.89
2.56,10.76,7.22,0.97,10.11,5,2.07,10.52,13.56
0.44,6.16,8.22,2.53,6.01,9.33,3.86,5.04,11.67
0.89,1.65,3.67,0.27,0.34,21.89,0.27,0.45,12.78
2.11,5.36,5.67,4.76,8.79,3,7.84,8.47,9.44
0.56,10.64,5.56,0.82,2.33,3.89,1.23,1.44,8.67
1.44,10.27,2.11,5.16,10.14,8.44,7.71,8.74,9.22
3,9.17,5,8.25,11.44,0.56,10.64,11.79,5.56
1.22,9.06,0.78,9.55,10.23,5.33,9.54,9.55,7.22
2.22,1.32,5.22,1.29,2.15,3.56,1.33,1.33,10
0.56,0.99,4.33,0.98,3.16,12.22,0.78,1.42,9.67
0.44,6.51,3.78,3.27,7.06,5,5.15,6.02,10
0,9.89,8.78,1.42,8.24,9.33,1.55,4.96,12.33
0,13.18,0.11,12.38,13.18,0,13.18,13.18,0.22
0.44,4.61,2.78,3.06,4.63,5.33,3.87,5.19,9.11
2,5.54,1.78,4.36,6.8,4.11,6.4,7.27,9.11
1.33,5.16,5.11,1.46,4.89,8.44,0.26,4.28,13.33
0.11,12.24,2.89,9.01,9.41,8.33,8.35,9.61,5.56
5,1.72,6.78,1.82,2.66,7.33,2.36,4.05,11.44
1.11,2.84,2,3.4,4.98,7.11,3.3,7.49,9.89
1.78,10.68,4.44,9.25,12.28,1.78,11,13.18,4.67
4,2.01,3.22,1.69,4.14,9.89,2.34,3.93,10.78
2.44,1.27,2.44,1.18,3.08,7.89,0.96,1.54,10.33
3.44,1.95,8.78,0.32,2.8,18.33,0.41,2.1,17.67
1.11,10.41,1.56,10.41,10.41,0.89,12.06,13.18,1.89
6.44,4,9.44,4.1,4.68,9.11,3.22,4.15,9.44
3.44,2.21,2.11,2.11,2.68,10.78,2.67,2.68,9
0,13.18,0,13.18,13.18,0,13.18,13.18,0
3.11,0.99,3,0.92,3.88,7.33,1.01,1.02,10
0,13.18,0.44,12.28,13.18,0,13.18,13.18,0.11
1.78,9.75,2.78,6.72,10.08,4.67,9.65,10.43,7.33
3.78,6.56,6.67,2.71,5.07,23.67,0.7,3.96,16.56
3.33,5.59,6.78,3.43,6.95,5.11,4.18,4.45,12.56
1.89,5.66,5.78,4.52,8.56,5.89,3.97,6.51,10.33
6,5.88,7.11,4.75,6.35,8.78,5.88,6.77,9.67
0,13.18,0,13.18,13.18,0,13.18,13.18,0
1.44,7.61,9.89,4.18,8.06,5,6.39,8.1,11.33
0,13.18,0,13.18,13.18,0,13.18,13.18,0
0,13.18,0,12.38,13.18,0,13.18,13.18,0.11
4.11,7.98,2.78,6.51,8.78,2.89,8.44,8.44,8.67
2,7.27,9,5.05,7.5,5.44,7.22,7.23,9.67
0,2.12,6.44,0.62,1.06,13.33,0.34,0.69,21.33
5.22,0.66,3.78,0.68,0.69,5,0.67,0.68,10.11
7.78,6.1,4.11,7.62,10.29,10,9.91,11.82,9.44
1.44,5.02,9.78,3.26,4.36,5.33,3.58,4,10
0,13.18,0,12.36,13.18,0,13.18,13.18,0.11
7.78,2.82,4.11,1.58,3.31,11.33,1.94,3.1,10.11
0.11,6.93,2.33,6.93,9.92,0,12.5,13.18,3.89
6.56,2.57,2.33,2.57,3.22,3.67,2.7,2.85,9.33
1.33,6.3,3.33,3.81,7.47,6.11,4.93,7.31,13.56
0,13.18,1.67,8.99,11.71,0.89,11.01,12.48,2.67
3.56,3.39,6.33,3.26,7.49,7,3.57,4.77,11.22
1.56,1.38,2.78,1.39,2.84,8.78,1.44,2.27,9.56
0.67,2.12,9.78,1.07,2.78,19.67,1.07,3.26,17.44
0.22,3.13,10.78,0.46,3.44,15.89,0.45,1.78,21.22
1.11,9.39,7.33,6.2,10.08,3.33,9.9,9.91,5.67
0.56,8.98,0.78,5.8,7.17,5.22,5.8,5.81,5.78
7.67,0.85,5,0.74,0.98,6.56,0.84,0.97,10.33
3.44,10.29,7.78,8.68,12.49,4.11,10.09,11.75,7.78
4.56,6.67,2.44,7.1,9.15,5,8.25,9.05,10.56
5.33,1.5,5.89,1.49,1.53,10.67,1.4,1.53,13.89
3,8.58,4.78,5.66,9.37,3.89,7.63,8.62,8.56
0,13.18,0,13.18,13.18,0,13.18,13.18,0
3.22,1.75,3.22,1.76,3.76,6.56,1.76,1.76,10.22
1.44,6.01,10.44,4.08,8.64,2.44,4.63,8.04,10.67
4.22,3.06,4.22,2.32,3.99,12.22,2.44,3.09,10
3.67,3.04,4.56,1.77,2.93,6.56,1.81,1.82,9.11
1.89,1.99,5.44,1.49,2.27,3.22,2,2.25,9.89
0,11.99,3,6.76,8.71,0,13.18,13.18,2.78
2.22,5.25,7.78,2.02,3.32,4,2.02,2.35,9.56
0,13.18,1,10.26,11.94,1.67,10.94,10.95,3.89
