@relation PcaEdb

@attribute WeekendActivity numeric
@attribute MesseginActivity numeric
@attribute QuestionActivity numeric
@attribute HomeworkActivity numeric
@attribute TestingActivity numeric

@data
-1.425934,0.935764,-0.578874,-0.506672,3.385134
-4.377528,2.008583,0.297034,-0.506672,2.879924
0.758518,2.008583,-0.578874,-0.506672,-0.48746
-5.689165,-7.894736,0.000847,-0.506672,1.975783
0.372864,2.008583,-0.229834,-0.506672,-0.081767
1.173307,2.695398,-0.578874,-0.506672,-0.830284
0.717862,-0.370121,-0.15563,-0.506672,-0.450544
-1.713646,-2.813448,-0.422757,-0.506672,0.392506
-7.422383,-0.969688,-0.148973,-0.506672,4.59866
-3.782786,1.051348,0.361452,-0.506672,4.231476
1.19633,1.166975,-0.621959,-0.506672,-0.804403
0.839994,0.666446,-0.621959,-0.506672,-0.782206
0.066932,0.988016,-0.885536,-0.506672,-0.550252
-3.620654,-0.124442,-0.121205,-0.506672,0.587612
0.693376,0.666446,-0.621959,-0.506672,-0.175437
-3.676192,-0.137328,-0.621959,-0.506672,0.901354
-3.172373,2.049367,-0.867876,-0.506672,1.097184
-0.074304,1.390475,-0.885536,-0.506672,0.222982
0.3193,1.042872,-0.885536,-0.506672,-0.64181
-0.406428,-0.149196,-0.885536,-0.506672,0.049833
0.802103,-0.051318,-0.885536,-0.506672,-0.376905
1.665372,-0.370121,-0.03299,-0.506672,-0.910399
0.154709,3.388566,-0.867876,-0.506672,0.065473
1.801504,-0.049413,-0.885536,-0.506672,-1.009716
1.388832,1.042872,-0.885536,-0.506672,-0.745409
1.128408,0.855397,-0.885536,-0.506672,-0.776645
0.742184,-1.786591,-0.831257,-0.506672,-0.611012
1.550509,0.51018,-0.872864,-0.506672,-0.959158
2.181037,0.51018,-0.872864,-0.506672,-1.091192
0.794442,-0.877506,-0.872864,-0.506672,-0.749568
0.254071,0.51018,-0.872864,-0.506672,-0.380705
2.009851,0.51018,-0.872864,-0.506672,-0.994998
0.837073,-0.877506,-0.872864,-0.506672,-0.762207
-1.45677,1.564244,-0.15563,0.498499,0.336139
1.55421,0.011068,-0.621959,-0.506672,-0.946519
0.446566,1.042872,-0.885536,-0.506672,-0.706369
1.777084,-0.370121,-0.885536,-0.506672,-0.932159
1.278053,-0.370121,-0.857362,-0.506672,-0.86232
1.313534,0.51018,-0.872864,-0.506672,-0.895961
-9.886868,0.51018,-0.890605,2.508842,6.676502
-2.772132,0.366824,0.062774,2.508842,2.413538
-2.898701,2.693929,0.21462,3.011427,2.331822
1.286101,1.587598,-0.15563,1.503671,-0.589578
0.971429,1.185789,-0.15563,-0.506672,-0.428466
0.983946,-0.370121,-0.578874,-0.506672,-0.455824
1.154681,1.502968,-0.15563,-0.506672,-0.672848
2.084487,-0.370121,-0.578874,-0.506672,-1.072913
0.074255,1.255221,-0.15563,3.011427,-0.1231
-0.261556,1.697131,-0.15563,1.503671,-0.08336
-2.138309,1.594218,0.11377,3.011427,2.246465
-1.119893,-9.711726,-0.15563,-0.506672,0.436132
0.48872,-0.787339,-0.15563,-0.004086,-0.100137
0.146024,1.043552,0.069854,-0.506672,-0.087195
0.982449,2.460911,-0.15563,-0.506672,-0.661772
1.528744,0.51956,-0.15563,-0.506672,-0.854602
-3.550586,0.895188,-0.15563,2.508842,2.220645
1.727763,-2.813448,-0.325435,-0.506672,-0.821246
-6.443608,2.558246,1.428713,1.001085,10.322046
-0.003545,2.312859,-0.325435,-0.506672,-0.545975
1.96949,0.901625,-0.325435,-0.506672,-0.988356
-0.795836,2.956397,-0.325435,-0.506672,-0.214552
-1.30218,-0.370121,0.044947,1.001085,0.517378
1.36717,2.545845,-0.135049,-0.506672,0.661034
1.389418,1.72638,-0.325435,-0.506672,-0.895961
1.038652,1.572634,-0.325435,-0.506672,-0.773485
-0.757856,-2.813448,-0.325435,-0.506672,-0.271388
-0.603434,0.839464,-0.882236,-0.506672,-0.401302
1.782811,0.775597,-0.890605,-0.506672,-0.964438
-2.154866,0.839464,-0.890605,-0.506672,0.633369
1.760032,0.51018,-0.890605,-0.506672,-0.883322
1.961573,0.51018,-0.890605,-0.506672,-0.944233
1.387436,0.51018,-0.890605,-0.004086,-0.634855
2.329373,0.51018,-0.890605,-0.506672,-1.098192
2.182952,0.51018,-0.890605,-0.506672,-1.098192
1.526687,0.51018,-0.890605,-0.506672,-0.750726
1.113404,-0.370121,-0.872864,-0.506672,-0.845403
2.28171,-0.370121,0.275217,-0.506672,-0.997077
2.188788,-0.370121,0.275217,-0.506672,-1.065554
1.74674,-1.762442,0.275217,-0.506672,-0.808607
1.226908,-2.813448,2.420349,-0.506672,-0.855563
-0.140999,-0.270639,0.542677,0.498499,-0.11964
-1.839857,-1.358964,0.549445,3.514013,0.184916
1.13016,-0.877506,0.275217,1.001085,-0.858043
1.669361,-0.877506,0.275217,-0.506672,-0.828606
-0.377248,-0.877506,0.842886,-0.506672,-0.320304
-0.783704,-3.765853,0.275217,-0.506672,0.184465
-6.242892,-0.428952,0.699318,-0.004086,1.803955
1.738946,-0.370121,0.275217,0.498499,-0.919161
1.130999,-0.420438,0.5803,-0.506672,-0.371592
0.6969,-0.370121,0.616117,-0.506672,-0.274247
-0.378836,-0.370121,0.275217,-0.506672,-0.426222
2.209076,-0.370121,2.420349,-0.506672,-1.027995
1.199263,-0.370121,0.552705,-0.506672,-0.556622
0.053709,-0.370121,0.574996,-0.506672,-0.198867
-0.03111,-0.370121,0.842886,-0.506672,-0.465939
-4.65014,-2.863186,0.743914,2.508842,1.571883
1.351313,-0.370121,2.420349,-0.506672,-0.868962
-0.194039,-0.370121,1.012564,-0.506672,-0.292587
1.523861,-0.370121,-0.890605,0.498499,-0.913881
1.114755,-0.370121,-0.890605,-0.506672,-0.807485
1.197614,-0.370121,-0.890605,0.498499,-0.858043
0.239987,-0.370121,-0.890605,0.498499,-0.590535
1.062789,-0.433324,-0.890605,0.498499,-0.812765
1.44992,-0.559837,-0.890605,0.498499,-0.888602
0.894812,-0.370121,1.628584,-0.506672,-0.782206
1.42304,-0.370121,1.628584,-0.506672,-0.785407
1.924095,-0.425639,1.628584,-0.506672,-1.002357
0.350999,-0.370121,6.254219,1.001085,-0.628812
0.5189,-0.370121,1.628584,0.498499,-0.588456
-1.026048,-0.370121,2.559276,-0.506672,1.157588
-0.542237,-2.813448,1.628584,0.498499,-0.212473
-5.49621,1.195677,5.238197,2.006256,7.0997
-1.452934,-0.370121,2.092555,0.498499,0.210986
-0.04328,-0.370121,2.033563,-0.506672,0.051265
-0.739295,-0.58602,3.953956,3.514013,-0.180553
0.977272,-0.481158,-0.585685,-0.506672,-0.721
1.570415,-0.370121,-0.708129,2.006256,-0.875962
0.290213,-0.378717,-0.585685,0.498499,-0.492938
0.345688,-0.414377,-0.708129,1.503671,-0.590535
0.673027,0.13185,-0.708129,-0.506672,-0.756927
-0.086211,-0.370121,-0.708129,0.498499,-0.489419
1.848704,-0.877506,-0.708129,-0.506672,-0.964438
0.446985,-0.877506,-0.432738,-0.506672,-0.472543
