@relation PcaEdbV2

@attribute WeekendActivity numeric
@attribute MesseginActivity numeric
@attribute TestingActivity numeric

@data
-0.42778,0.280729,0.967218
-1.313258,0.602575,0.806873
0.227555,0.602575,-0.146219
-1.706749,-2.368421,-0.142637
0.111859,0.602575,0.18078
0.351992,0.808619,-0.147949
0.215359,-0.111036,-0.153066
-0.514094,-0.844034,-0.090138
-2.226715,-0.290906,0.562433
-1.134836,0.315404,1.363119
0.358899,0.350093,-0.146219
0.251998,0.199934,-0.153066
0.02008,0.296405,-0.141655
-1.086196,-0.037333,-0.147202
0.208013,0.199934,-0.148501
-1.102858,-0.041198,-0.150784
-0.951712,0.61481,-0.117605
-0.022291,0.417142,-0.150784
0.09579,0.312862,-0.148501
-0.121928,-0.044759,-0.078521
0.240631,-0.015395,-0.146219
0.499612,-0.111036,-0.126775
0.046413,1.01657,0.046834
0.540451,-0.014824,-0.153066
0.41665,0.312862,-0.153066
0.338522,0.256619,-0.141102
0.222655,-0.535977,-0.12961
0.465153,0.153054,-0.153066
0.654311,0.153054,-0.150784
0.238333,-0.263252,-0.153066
0.076221,0.153054,-0.148501
0.602955,0.153054,-0.153066
0.251122,-0.263252,-0.153066
-0.437031,0.469273,-0.153066
0.466263,0.00332,-0.153066
0.13397,0.312862,-0.153066
0.533125,-0.111036,-0.150784
0.383416,-0.111036,-0.135474
0.39406,0.153054,-0.153066
-2.96606,0.153054,0.39351
-0.83164,0.110047,0.299725
-0.86961,0.808179,0.275952
0.38583,0.476279,-0.153066
0.291429,0.355737,-0.153066
0.295184,-0.111036,-0.153066
0.346404,0.45089,-0.139373
0.625346,-0.111036,-0.153066
0.022277,0.376566,-0.093177
-0.078467,0.509139,-0.143384
-0.641493,0.478265,0.369548
-0.335968,-2.913518,-0.153066
0.146616,-0.236202,0.007843
0.043807,0.313066,-0.000358
0.294735,0.738273,-0.110953
0.458623,0.155868,-0.148501
-1.065176,0.268556,0.038135
0.518329,-0.844034,-0.153066
-1.933082,0.767474,3.338456
-0.001063,0.693858,-0.148501
0.590847,0.270487,-0.148501
-0.238751,0.886919,-0.153066
-0.390654,-0.111036,-0.102418
0.410151,0.763753,0.402923
0.416825,0.517914,-0.153066
0.311596,0.47179,-0.148501
-0.227357,-0.844034,-0.130868
-0.18103,0.251839,-0.147202
0.534843,0.232679,-0.153066
-0.64646,0.251839,-0.141655
0.52801,0.153054,-0.153066
0.588472,0.153054,-0.127409
0.416231,0.153054,-0.153066
0.698812,0.153054,-0.153066
0.654886,0.153054,-0.153066
0.458006,0.153054,-0.131421
0.334021,-0.111036,-0.153066
0.684513,-0.111036,-0.153066
0.656636,-0.111036,-0.153066
0.524022,-0.528733,-0.153066
0.368072,-0.844034,-0.144367
-0.0423,-0.081192,-0.02806
-0.551957,-0.407689,-0.010827
0.339048,-0.263252,-0.153066
0.500808,-0.263252,-0.153066
-0.113174,-0.263252,-0.12961
-0.235111,-1.129756,-0.153066
-1.872868,-0.128686,0.184514
0.521684,-0.111036,-0.153066
0.3393,-0.126131,0.059121
0.20907,-0.111036,0.128322
-0.113651,-0.111036,-0.153066
0.662723,-0.111036,-0.147202
0.359779,-0.111036,0.012598
0.016113,-0.111036,0.027743
-0.009333,-0.111036,-0.126775
-1.395042,-0.858956,0.231037
0.405394,-0.111036,-0.147202
-0.058212,-0.111036,-0.135474
0.457158,-0.111036,-0.153066
0.334426,-0.111036,-0.153066
0.359284,-0.111036,-0.153066
0.071996,-0.111036,-0.153066
0.318837,-0.129997,-0.153066
0.434976,-0.167951,-0.153066
0.018791,-0.101043,-0.094901
1.024589,-0.025908,-0.265314
0.019241,-0.038308,-0.188781
0.347489,-0.236877,-0.122668
0.150481,-0.259085,-0.270416
-0.656671,-0.322005,1.699753
-0.119292,-1.744338,-0.367358
-0.109924,0.968498,7.538059
-0.610232,-0.270188,-0.016247
-0.042847,-0.218371,0.103005
-0.340076,-0.357472,-0.424014
0.635227,-0.461912,-0.11904
0.361195,-0.262786,-0.448993
0.171226,-0.094679,-0.188452
0.096793,-0.381227,-0.387766
0.275941,0.063288,-0.469401
-0.023277,-0.055518,-0.127555
0.887378,-0.500178,-0.387766
0.263721,-0.79853,-0.359747
