@relation PcaEdb

@attribute WeekendActivity numeric
@attribute MesseginActivity numeric
@attribute QuestionActivity numeric
@attribute HomeworkActivity numeric
@attribute TestingActivity numeric

@data
-0.998154,0.655035,-0.405212,-0.35467,2.369594
-3.06427,1.406008,0.207924,-0.35467,2.015947
0.530963,1.406008,-0.405212,-0.35467,-0.341222
-3.982415,-5.526315,0.000593,-0.35467,1.383048
0.261005,1.406008,-0.160884,-0.35467,-0.057237
0.821315,1.886779,-0.405212,-0.35467,-0.581199
0.502503,-0.259085,-0.108941,-0.35467,-0.315381
-1.199552,-1.969414,-0.29593,-0.35467,0.274754
-5.195668,-0.678782,-0.104281,-0.35467,3.219062
-2.64795,0.735944,0.253016,-0.35467,2.962033
0.837431,0.816883,-0.435371,-0.35467,-0.563082
0.587996,0.466512,-0.435371,-0.35467,-0.547544
0.046852,0.691611,-0.619875,-0.35467,-0.385176
-2.534458,-0.087109,-0.084843,-0.35467,0.411328
0.485363,0.466512,-0.435371,-0.35467,-0.122806
-2.573334,-0.09613,-0.435371,-0.35467,0.630948
-2.220661,1.434557,-0.607513,-0.35467,0.768029
-0.052013,0.973332,-0.619875,-0.35467,0.156087
0.22351,0.73001,-0.619875,-0.35467,-0.449267
-0.2845,-0.104437,-0.619875,-0.35467,0.034883
0.561472,-0.035923,-0.619875,-0.35467,-0.263833
1.16576,-0.259085,-0.023093,-0.35467,-0.637279
0.108296,2.371996,-0.607513,-0.35467,0.045831
1.261053,-0.034589,-0.619875,-0.35467,-0.706801
0.972182,0.73001,-0.619875,-0.35467,-0.521786
0.789886,0.598778,-0.619875,-0.35467,-0.543651
0.519529,-1.250614,-0.58188,-0.35467,-0.427708
1.085356,0.357126,-0.611005,-0.35467,-0.671411
1.526726,0.357126,-0.611005,-0.35467,-0.763834
0.556109,-0.614254,-0.611005,-0.35467,-0.524698
0.17785,0.357126,-0.611005,-0.35467,-0.266493
1.406896,0.357126,-0.611005,-0.35467,-0.696499
0.585951,-0.614254,-0.611005,-0.35467,-0.533545
-1.019739,1.094971,-0.108941,0.348949,0.235297
1.087947,0.007748,-0.435371,-0.35467,-0.662563
0.312596,0.73001,-0.619875,-0.35467,-0.494458
1.243959,-0.259085,-0.619875,-0.35467,-0.652511
0.894637,-0.259085,-0.600153,-0.35467,-0.603624
0.919474,0.357126,-0.611005,-0.35467,-0.627173
-6.920808,0.357126,-0.623423,1.756189,4.673551
-1.940492,0.256777,0.043942,1.756189,1.689477
-2.029091,1.88575,0.150234,2.107999,1.632275
0.900271,1.111319,-0.108941,1.05257,-0.412705
0.68,0.830052,-0.108941,-0.35467,-0.299926
0.688762,-0.259085,-0.405212,-0.35467,-0.319077
0.808277,1.052078,-0.108941,-0.35467,-0.470994
1.459141,-0.259085,-0.405212,-0.35467,-0.751039
0.051978,0.878655,-0.108941,2.107999,-0.08617
-0.183089,1.187992,-0.108941,1.05257,-0.058352
-1.496816,1.115953,0.079639,2.107999,1.572526
-0.783925,-6.798208,-0.108941,-0.35467,0.305292
0.342104,-0.551137,-0.108941,-0.00286,-0.070096
0.102217,0.730486,0.048898,-0.35467,-0.061036
0.687714,1.722638,-0.108941,-0.35467,-0.46324
1.070121,0.363692,-0.108941,-0.35467,-0.598221
-2.48541,0.626632,-0.108941,1.756189,1.554452
1.209434,-1.969414,-0.227804,-0.35467,-0.574872
-4.510526,1.790772,1.000099,0.700759,7.225432
-0.002481,1.619001,-0.227804,-0.35467,-0.382182
1.378643,0.631138,-0.227804,-0.35467,-0.691849
-0.557085,2.069478,-0.227804,-0.35467,-0.150186
-0.911526,-0.259085,0.031463,0.700759,0.362165
0.957019,1.782091,-0.094534,-0.35467,0.462724
0.972593,1.208466,-0.227804,-0.35467,-0.627173
0.727056,1.100844,-0.227804,-0.35467,-0.541439
-0.530499,-1.969414,-0.227804,-0.35467,-0.189972
-0.422404,0.587625,-0.617565,-0.35467,-0.280911
1.247968,0.542918,-0.623423,-0.35467,-0.675107
-1.508406,0.587625,-0.623423,-0.35467,0.443358
1.232022,0.357126,-0.623423,-0.35467,-0.618325
1.373101,0.357126,-0.623423,-0.35467,-0.660963
0.971205,0.357126,-0.623423,-0.00286,-0.444398
1.630561,0.357126,-0.623423,-0.35467,-0.768734
1.528066,0.357126,-0.623423,-0.35467,-0.768734
1.068681,0.357126,-0.623423,-0.35467,-0.525508
0.779383,-0.259085,-0.611005,-0.35467,-0.591782
1.597197,-0.259085,0.192652,-0.35467,-0.697954
1.532152,-0.259085,0.192652,-0.35467,-0.745888
1.222718,-1.233709,0.192652,-0.35467,-0.566025
0.858836,-1.969414,1.694244,-0.35467,-0.598894
-0.098699,-0.189447,0.379874,0.348949,-0.083748
-1.2879,-0.951275,0.384611,2.459809,0.129441
0.791112,-0.614254,0.192652,0.700759,-0.60063
1.168553,-0.614254,0.192652,-0.35467,-0.580024
-0.264074,-0.614254,0.59002,-0.35467,-0.224213
-0.548593,-2.636097,0.192652,-0.35467,0.129125
-4.370024,-0.300266,0.489523,-0.00286,1.262768
1.217262,-0.259085,0.192652,0.348949,-0.643413
0.791699,-0.294307,0.40621,-0.35467,-0.260114
0.48783,-0.259085,0.431282,-0.35467,-0.191973
-0.265185,-0.259085,0.192652,-0.35467,-0.298355
1.546353,-0.259085,1.694244,-0.35467,-0.719596
0.839484,-0.259085,0.386894,-0.35467,-0.389635
0.037596,-0.259085,0.402497,-0.35467,-0.139207
-0.021777,-0.259085,0.59002,-0.35467,-0.326157
-3.255098,-2.00423,0.52074,1.756189,1.100318
0.945919,-0.259085,1.694244,-0.35467,-0.608273
-0.135827,-0.259085,0.708795,-0.35467,-0.204811
1.066703,-0.259085,-0.623423,0.348949,-0.639717
0.780328,-0.259085,-0.623423,-0.35467,-0.56524
0.83833,-0.259085,-0.623423,0.348949,-0.60063
0.167991,-0.259085,-0.623423,0.348949,-0.413374
