@relation auto93.names-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute City_MPG numeric
@attribute Highway_MPG numeric
@attribute Number_of_cylinders numeric
@attribute Engine_size numeric
@attribute Horsepower numeric
@attribute RPM numeric
@attribute Engine_revolutions_per_mile numeric
@attribute Fuel_tank_capacity numeric
@attribute Passenger_capacity numeric
@attribute Length numeric
@attribute Wheelbase numeric
@attribute Width numeric
@attribute U-turn_space numeric
@attribute Rear_seat_room numeric
@attribute Luggage_capacity numeric
@attribute Weight numeric
@attribute class {7.4,8,8.3,8.4,8.6,9,9.1,9.2,9.8,10,10.1,10.3,10.9,11.1,11.3,11.4,11.6,11.8,12.1,12.2,12.5,13.3,13.4,13.5,13.9,14,14.1,14.4,14.9,15.1,15.6,15.7,15.8,15.9,16.3,16.5,16.6,17.5,17.7,18.2,18.4,18.5,18.8,19,19.1,19.3,19.5,19.7,19.8,19.9,20,20.2,20.7,20.8,20.9,21.5,22.7,23.3,23.7,24.4,25.8,26.1,26.3,26.7,28,28.7,29.1,29.5,30,31.9,32.5,33.9,34.3,34.7,35.2,36.1,37.7,38,40.1,47.9,61.9}

@data
25,31,4,1.8,140,6300,2890,13.2,5,177,102,68,37,26.5,11,2705,15.9
18,25,6,3.2,200,5500,2335,18,5,195,115,71,38,30,15,3560,33.9
20,26,6,2.8,172,5500,2280,16.9,5,180,102,67,37,28,14,3375,29.1
19,26,6,2.8,172,5500,2535,21.1,6,193,106,70,37,31,17,3405,37.7
22,30,4,3.5,208,5700,2545,21.1,4,186,109,69,39,27,13,3640,30
22,31,4,2.2,110,5200,2565,16.4,6,189,105,69,41,28,16,2880,15.7
19,28,6,3.8,170,4800,1570,18,6,200,111,74,42,30.5,17,3470,20.8
16,25,6,5.7,180,4000,1320,23,6,216,116,78,45,30.5,21,4105,23.7
19,27,6,3.8,170,4800,1690,18.8,5,198,108,73,41,26.5,14,3495,26.3
16,25,8,4.9,200,4100,1510,18,6,206,114,73,43,35,18,3620,34.7
16,25,8,4.6,295,6000,1985,20,5,204,111,74,44,31,14,3935,40.1
25,36,4,2.2,110,5200,2380,15.2,5,182,101,66,38,25,13,2490,13.4
25,34,4,2.2,110,5200,2665,15.6,5,184,103,68,39,26,14,2785,11.4
19,28,6,3.4,160,4600,1805,15.5,4,193,101,74,43,25,13,3240,15.1
21,29,4,2.2,110,5200,2595,16.5,6,198,108,71,40,28.5,16,3195,15.9
18,23,6,3.8,170,4800,1690,20,7,178,110,74,44,30.5,?,3715,16.3
15,20,6,4.3,165,4000,1790,27,8,194,111,78,42,33.5,?,4025,16.6
17,26,8,5,170,4200,1350,23,6,214,116,77,42,29.5,20,3910,18.8
17,25,8,5.7,300,5000,1450,20,2,179,96,74,43,?,?,3380,38
20,28,6,3.3,153,5300,1990,18,6,203,113,74,40,31,15,3515,18.4
23,28,4,3,141,5000,2090,16,6,183,104,68,41,30.5,14,3085,15.8
20,26,6,3.3,147,4800,1785,16,6,203,110,69,44,36,17,3570,29.5
29,33,4,1.5,92,6000,3285,13.2,5,174,98,66,32,26.5,11,2270,9.2
23,29,4,2.2,93,4800,2595,14,5,172,97,67,38,26.5,13,2670,11.3
22,27,4,2.5,100,4800,2535,16,6,181,104,68,39,30.5,14,2970,13.3
17,21,6,3,142,5000,1970,20,7,175,112,72,42,26.5,?,3705,19
21,27,4,2.5,100,4800,2465,16,6,192,105,69,42,30.5,16,3080,15.6
18,24,6,3,300,6000,2120,19.8,4,180,97,72,40,20,11,3805,25.8
29,33,4,1.5,92,6000,2505,13.2,5,174,98,66,36,26.5,11,2295,12.2
