@relation 'edb-weka.filters.unsupervised.attribute.Remove-R34-35-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C24-Lfirst-last-weka.filters.unsupervised.attribute.Remove-R1,16-17,19-24'

@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute WEEKENDPCT numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute TOTALQUEST numeric
@attribute NumberOfTests numeric
@attribute PassedTests numeric

@data
7,10,9,8,9,12,16,0.651163,1,3,0,442,25,139,0,235,206
20,19,19,12,23,7,26,0.354839,0,5,0,339,0,210,104,163,76
2,2,6,10,3,2,3,0.217391,0,5,0,339,0,210,0,3,0
16,26,20,24,22,18,22,0.37037,563,0,0,0,27128,0,1,3,0
4,2,5,7,10,3,4,0.25,0,5,0,339,0,210,40,45,31
6,4,2,3,1,3,3,0.375,4,5,211,339,109,210,0,1,1
2,0,7,2,9,3,7,0.5,0,3,0,16,0,141,0,0,0
11,11,18,16,9,4,4,0.123077,0,0,0,0,0,0,5,16,3
38,37,28,29,30,9,7,0.098765,15,2,5,25,406,123,50,163,58
16,17,24,14,15,15,11,0.302326,1,5,0,44,40,207,117,241,193
2,3,2,4,3,5,2,0.5,4,4,-9,60,202,262,0,3,0
6,8,4,0,8,1,0,0.038462,0,4,0,104,0,184,0,0,0
7,0,10,1,13,8,1,0.290323,8,4,0,210,176,189,0,5,0
17,13,16,17,17,15,14,0.3625,0,3,0,57,0,154,1,1,0
9,8,1,6,3,2,1,0.111111,0,4,0,104,0,184,0,2,0
21,6,19,23,21,8,10,0.2,2,3,0,57,34,154,0,1,0
