@relation fishcatch-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute Length1 numeric
@attribute Length2 numeric
@attribute Length3 numeric
@attribute Height numeric
@attribute Width numeric
@attribute class {0,5.9,6.7,7,7.5,8.7,9.7,9.8,9.9,10,12.2,13.4,19.7,19.9,32,40,51.5,55,60,69,70,78,80,85,87,90,100,110,115,120,125,130,135,140,145,150,160,161,169,170,180,188,197,200,218,225,242,250,260,265,270,272,273,290,300,306,320,340,345,363,390,430,450,456,475,500,510,514,540,556,567,575,600,610,620,650,680,685,690,700,714,720,725,770,800,820,840,850,900,920,925,950,955,975,1000,1015,1100,1250,1550,1600,1650}

@data
23.2,25.4,30,38.4,13.4,242
24,26.3,31.2,40,13.8,290
23.9,26.5,31.1,39.8,15.1,340
26.3,29,33.5,38,13.3,363
26.5,29,34,36.6,15.1,430
26.8,29.7,34.7,39.2,14.2,450
26.8,29.7,34.5,41.1,15.3,500
27.6,30,35,36.2,13.4,390
27.6,30,35.1,39.9,13.8,450
28.5,30.7,36.2,39.3,13.7,500
28.4,31,36.2,39.4,14.1,475
28.7,31,36.2,39.7,13.3,500
29.1,31.5,36.4,37.8,12,500
29.4,32,37.2,40.2,13.9,600
29.4,32,37.2,41.5,15,600
30.4,33,38.3,38.8,13.8,700
30.4,33,38.5,38.8,13.5,700
30.9,33.5,38.6,40.5,13.3,610
31,33.5,38.7,37.4,14.8,650
31.3,34,39.5,38.3,14.1,575
31.4,34,39.2,40.8,13.7,685
31.5,34.5,39.7,39.1,13.3,620
31.8,35,40.6,38.1,15.1,680
31.9,35,40.5,40.1,13.8,700
31.8,35,40.9,40,14.8,725
32,35,40.6,40.3,15,720
32.7,36,41.5,39.8,14.1,714
32.8,36,41.6,40.6,14.9,850
33.5,37,42.6,44.5,15.5,1000
35,38.5,44.1,40.9,14.3,920
35,38.5,44,41.1,14.3,955
36.2,39.5,45.3,41.4,14.9,925
37.4,41,45.9,40.6,14.7,975
38,41,46.5,37.9,13.7,950
23.6,26,28.7,29.2,14.8,270
24.1,26.5,29.3,27.8,14.5,270
25.6,28,30.8,28.5,15.2,306
28.5,31,34,31.6,19.3,540
33.7,36.4,39.6,29.7,16.6,800
37.3,40,43.5,28.4,15,1000
12.9,14.1,16.2,25.6,14,40
16.5,18.2,20.3,26.1,13.9,69
17.5,18.8,21.2,26.3,13.7,78
18.2,19.8,22.2,25.3,14.3,87
18.6,20,22.2,28,16.1,120
19,20.5,22.8,28.4,14.7,0
19.1,20.8,23.1,26.7,14.7,110
19.4,21,23.7,25.8,13.9,120
20.4,22,24.7,23.5,15.2,150
20.5,22,24.3,27.3,14.6,145
20.5,22.5,25.3,27.8,15.1,160
21,22.5,25,26.2,13.3,140
21.1,22.5,25,25.6,15.2,160
22,24,27.2,27.7,14.1,169
22,23.4,26.7,25.9,13.6,161
22.1,23.5,26.8,27.6,15.4,200
23.6,25.2,27.9,25.4,14,180
24,26,29.2,30.4,15.4,290
25,27,30.6,28,15.6,272
29.5,31.7,35,27.1,15.3,390
13.5,14.7,16.5,41.5,14.1,55
14.3,15.5,17.4,37.8,13.3,60
16.3,17.7,19.8,37.4,13.5,90
17.5,19,21.3,39.4,13.7,120
18.4,20,22.4,39.7,14.7,150
19,20.7,23.2,36.8,14.2,140
19,20.7,23.2,40.5,14.7,170
19.8,21.5,24.1,40.4,13.1,145
21.2,23,25.8,40.1,14.2,200
23,25,28,39.6,14.8,273
24,26,29,39.2,14.6,300
9.3,9.8,10.8,16.1,9.7,6.7
10,10.5,11.6,17,10,7.5
10.1,10.6,11.6,14.9,9.9,7
10.4,11,12,18.3,11.5,9.7
10.7,11.2,12.4,16.8,10.3,9.8
10.8,11.3,12.6,15.7,10.2,8.7
11.3,11.8,13.1,16.9,9.8,10
11.3,11.8,13.1,16.9,8.9,9.9
11.4,12,13.2,16.7,8.7,9.8
11.5,12.2,13.4,15.6,10.4,12.2
11.7,12.4,13.5,18,9.4,13.4
12.1,13,13.8,16.5,9.1,12.2
13.2,14.3,15.2,18.9,13.6,19.7
13.8,15,16.2,18.1,11.6,19.9
30,32.3,34.8,16,9.7,200
31.7,34,37.8,15.1,11,300
32.7,35,38.8,15.3,11.3,300
34.8,37.3,39.8,15.8,10.1,300
35.5,38,40.5,18,11.3,430
36,38.5,41,15.6,9.7,345
40,42.5,45.5,16,9.5,456
40,42.5,45.5,15,9.8,510
40.1,43,45.8,17,11.2,540
42,45,48,14.5,10.2,500
43.2,46,48.7,16,10,567
44.8,48,51.2,15,10.5,770
48.3,51.7,55.1,16.2,11.2,950
52,56,59.7,17.9,11.7,1250
56,60,64,15,9.6,1600
56,60,64,15,9.6,1550
59,63.4,68,15.9,11,1650
7.5,8.4,8.8,24,16,5.9
12.5,13.7,14.7,24,13.6,32
13.8,15,16,23.9,15.2,40
15,16.2,17.2,26.7,15.3,51.5
15.7,17.4,18.5,24.8,15.9,70
16.2,18,19.2,27.2,17.3,100
16.8,18.7,19.4,26.8,16.1,78
17.2,19,20.2,27.9,15.1,80
17.8,19.6,20.8,24.7,14.6,85
18.2,20,21,24.2,13.2,85
19,21,22.5,25.3,15.8,110
19,21,22.5,26.3,14.7,115
19,21,22.5,25.3,16.3,125
19.3,21.3,22.8,28,15.5,130
20,22,23.5,26,14.5,120
20,22,23.5,24,15,120
20,22,23.5,26,15,130
20,22,23.5,25,15,135
20,22,23.5,23.5,17,110
20.5,22.5,24,24.4,15.1,130
20.5,22.5,24,28.3,15.1,150
20.7,22.7,24.2,24.6,15,145
21,23,24.5,21.3,14.8,150
21.5,23.5,25,25.1,14.9,170
22,24,25.5,28.6,14.6,225
22,24,25.5,25,15,145
22.6,24.6,26.2,25.7,15.9,188
23,25,26.5,24.3,13.9,180
23.5,25.6,27,24.3,15.7,197
25,26.5,28,25.6,14.8,218
25.2,27.3,28.7,29,17.9,300
25.4,27.5,28.9,24.8,15,260
25.4,27.5,28.9,24.4,15,265
25.4,27.5,28.9,25.2,15.8,250
25.9,28,29.4,26.6,14.3,250
26.9,28.7,30.1,25.2,15.4,300
27.8,30,31.6,24.1,15.1,320
30.5,32.8,34,29.5,17.7,514
32,34.5,36.5,28.1,17.5,556
32.5,35,37.3,30.8,20.9,840
34,36.5,39,27.9,17.6,685
34,36,38.3,27.7,17.6,700
34.5,37,39.4,27.5,15.9,700
