@relation final
@attribute userid integer [1,500]
@attribute course integer []
@attribute n_assignment integer []
@attribute n_assignment_a integer [] 
@attribute n_assignment_s integer [] 
@attribute n_messages integer [] 
@attribute n_posts integer [] 
@attribute n_read integer [] 
@attribute n_quiz integer [] 
@attribute n_quiz_a integer [] 
@attribute n_quiz_s integer [] 
@attribute n_messages_ap integer [] 
@attribute total_time_assignment integer [] 
@attribute total_time_quiz integer [] 
@attribute total_time_forum integer [] 
@attribute nota real [0.0,10.0] 
@data 
2542,88,6,0,6,0,0,0,0,0,0,0,1872,0,404,0.0
2276,88,7,0,7,0,0,0,0,0,0,0,2163,0,0,0.0
2472,88,6,0,6,0,0,0,0,0,0,0,1496,0,51,0.0
2465,88,7,0,7,0,0,0,0,0,0,0,1386,0,145,8.5
2131,88,7,0,7,0,0,0,0,0,0,0,2496,0,678,9.0
2301,88,7,0,7,0,0,0,0,0,0,0,1981,0,151,0.0
2284,88,7,0,7,0,0,0,0,0,0,0,3053,0,279,5.5
2287,88,7,0,7,0,0,0,0,0,0,0,1757,0,47,0.0
2076,88,7,0,7,0,0,0,0,0,0,0,3023,0,210,5.25
2260,88,6,0,6,0,0,0,0,0,0,0,1039,0,42,0.0
2161,88,7,0,7,0,0,0,0,0,0,0,1951,0,159,5.75
2546,88,7,0,7,0,0,0,0,0,0,0,1315,0,0,6.5
2665,88,6,0,6,0,0,0,0,0,0,0,628,0,0,0.0
2266,88,7,0,7,0,0,0,0,0,0,0,2949,0,10,0.0
2256,88,7,0,7,0,0,0,0,0,0,0,2106,0,218,8.25
2194,88,7,0,7,0,0,0,0,0,0,0,2431,0,66,5.75
2843,88,7,0,7,0,0,0,0,0,0,0,1710,0,22,0.0
2677,88,7,0,7,0,0,0,0,0,0,0,1311,0,38,0.0
2157,88,7,0,7,0,0,0,0,0,0,0,1465,0,275,6.5
2484,88,7,0,7,0,0,0,0,0,0,0,1531,0,0,0.0
2672,88,6,0,6,0,0,0,0,0,0,0,1242,0,17,0.0
2114,88,6,0,6,0,0,0,0,0,0,0,1993,0,0,0.0
2133,88,7,0,7,0,0,0,0,0,0,0,2608,0,0,0.0
2507,88,7,0,7,0,0,0,0,0,0,0,2218,0,1077,0.0
2116,88,7,0,7,0,0,0,0,0,0,0,1576,0,243,0.0
2891,88,6,0,6,0,0,0,0,0,0,0,89,0,246,0.0
2485,88,7,0,7,0,0,0,0,0,0,0,2982,0,236,0.0
2110,88,7,0,7,0,0,0,0,0,0,0,3296,0,738,6.25
2074,88,6,0,6,0,0,0,0,0,0,0,54,0,0,0.0
2655,88,6,0,6,0,0,0,0,0,0,0,920,0,18,0.0
2134,88,7,0,7,0,0,0,0,0,0,0,1968,0,44,9.25
2383,88,7,0,7,0,0,0,0,0,0,0,2453,0,15,0.0
2411,88,7,0,7,0,0,0,0,0,0,0,4192,0,128,9.0
2078,88,11,0,11,0,0,0,0,0,0,0,1291,0,953,0.0
2255,88,7,0,7,0,0,0,0,0,0,0,2847,0,0,8.5
2115,88,7,0,7,0,0,0,0,0,0,0,3283,0,144,7.0
2269,88,7,0,7,0,0,0,0,0,0,0,1338,0,128,0.0
2068,88,10,0,10,0,0,0,0,0,0,0,1385,0,11,0.0
2112,88,7,0,7,0,0,0,0,0,0,0,2343,0,328,6.25
2660,88,7,0,7,0,0,0,0,0,0,0,2083,0,14,0.0
2658,88,7,0,7,0,0,0,0,0,0,0,1091,0,0,5.75
2145,88,7,0,7,0,1,0,0,0,0,0,2259,0,648,0.0
2470,88,7,0,7,0,0,0,0,0,0,0,3088,0,0,8.0
2610,88,7,0,7,0,1,0,0,0,0,0,1016,0,617,6.0
2544,88,7,0,7,0,0,0,0,0,0,0,3522,0,90,6.0
2938,88,7,0,7,0,0,0,0,0,0,0,0,0,0,6.0
2556,88,7,0,7,0,0,0,0,0,0,0,2200,0,0,0.0
2073,88,7,0,7,0,0,0,0,0,0,0,3178,0,188,9.5
2061,88,6,0,6,0,0,0,0,0,0,0,1825,0,97,5.75
2609,88,6,0,6,0,0,0,0,0,0,0,1225,0,120,0.0
2375,88,7,0,7,0,0,0,0,0,0,0,1361,0,23,0.0
2075,88,7,0,7,0,0,0,0,0,0,0,2756,0,339,6.25
2318,88,7,0,7,0,0,0,0,0,0,0,2256,0,377,8.75
2395,88,6,0,6,0,0,0,0,0,0,0,49,0,0,0.0
2175,88,7,0,7,0,0,0,0,0,0,0,1934,0,9,6.25
2070,88,7,0,7,0,0,0,0,0,0,0,3766,0,148,6.0
2067,88,6,0,6,0,0,0,0,0,0,0,2268,0,257,0.0
2309,88,7,0,7,0,0,0,0,0,0,0,2287,0,64,0.0
2120,88,7,0,7,0,0,0,0,0,0,0,2734,0,436,0.0
2897,88,7,0,7,0,0,0,0,0,0,0,1801,0,0,0.0
2294,88,7,0,7,0,0,0,0,0,0,0,3591,0,428,5.75
2826,88,6,0,6,0,0,0,0,0,0,0,0,0,0,0.0
2543,88,7,0,7,0,0,0,0,0,0,0,2543,0,92,0.0
2072,88,7,0,7,0,0,0,0,0,0,0,1801,0,120,5.5
2093,88,6,0,6,0,0,0,0,0,0,0,1428,0,0,0.0
2122,88,6,0,6,0,0,0,0,0,0,0,1903,0,325,0.0
2181,88,7,0,7,0,0,0,0,0,0,0,4411,0,139,0.0
2184,88,7,0,7,0,0,0,0,0,0,0,2933,0,221,0.0
2467,88,6,0,6,0,0,0,0,0,0,0,1684,0,120,0.0
2474,88,7,0,7,0,0,0,0,0,0,0,2323,0,208,0.0
2501,88,7,0,7,0,0,0,0,0,0,0,2382,0,35,0.0
2602,88,6,0,6,0,0,0,0,0,0,0,508,0,4,0.0
903,29,0,0,0,0,0,7,0,0,0,0,0,0,5179,3.5
2612,29,0,0,0,0,0,0,0,0,0,0,0,0,1017,2.5
712,29,1,0,1,0,2,0,0,0,0,0,0,0,357,3.5
1189,29,0,0,0,0,0,0,0,0,0,0,0,0,683,0.0
725,29,0,0,0,0,0,0,0,0,0,0,0,0,124,0.0
