@relation final-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S46.0-C1-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1

@attribute n_assignment numeric
@attribute n_assignment_a numeric
@attribute n_assignment_s numeric
@attribute n_messages numeric
@attribute n_posts numeric
@attribute n_read numeric
@attribute n_quiz numeric
@attribute n_quiz_a numeric
@attribute n_quiz_s numeric
@attribute n_messages_ap numeric
@attribute total_time_assignment numeric
@attribute total_time_quiz numeric
@attribute total_time_forum numeric
@attribute nota numeric

@data
0,0,0,0,0,7,0,0,0,0,0,0,5179,3.5
0,0,0,0,0,0,0,0,0,0,0,0,1017,2.5
1,0,1,0,2,0,0,0,0,0,0,0,357,3.5
0,0,0,0,0,0,0,0,0,0,0,0,683,0
0,0,0,0,0,0,0,0,0,0,0,0,124,0
1,0,1,0,0,0,0,0,0,0,0,0,545,6
1,0,1,0,0,0,0,0,0,0,120,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,1213,0
0,0,0,0,0,0,0,0,0,0,0,0,555,0
1,0,1,0,0,0,0,0,0,0,139,0,71,3.5
0,0,0,0,0,0,0,0,0,0,0,0,15,0
2,0,2,0,1,0,0,0,0,0,177,0,1371,0
1,0,1,0,1,0,0,0,0,0,0,0,758,3
1,0,1,0,0,0,0,0,0,0,17,0,99,5
0,0,0,0,0,0,0,0,0,0,0,0,310,0
1,0,1,0,0,0,0,0,0,0,0,0,168,0
1,0,1,0,0,0,0,0,0,0,0,0,10341,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,293,0
1,0,1,0,0,0,0,0,0,0,0,0,735,1
0,0,0,0,0,0,0,0,0,0,0,0,404,0
1,0,1,0,0,0,0,0,0,0,93,0,2531,0
2,0,2,0,1,0,0,0,0,0,398,0,3782,5
0,0,0,0,0,0,0,0,0,0,0,0,1112,0
1,0,1,0,0,0,0,0,0,0,19,0,161,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,213,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,541,0
1,0,1,0,1,0,0,0,0,0,246,0,1137,5
2,0,2,0,1,0,0,0,0,0,169,0,2699,4
0,0,0,0,0,0,0,0,0,0,0,0,141,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,1274,0
0,0,0,0,0,0,0,0,0,0,0,0,136,0
0,0,0,0,0,0,0,0,0,0,0,0,319,0
2,0,2,0,0,0,0,0,0,0,143,0,1463,0
1,0,1,0,0,0,0,0,0,0,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,0,360,3
3,0,3,0,1,0,0,0,0,0,279,0,2512,0
0,0,0,0,0,0,0,0,0,0,0,0,179,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,2,0,0,0,0,0,14,0,1547,5.5
2,0,2,0,1,0,0,0,0,0,1639,0,1452,0
1,0,1,0,0,0,0,0,0,0,281,0,3258,0
0,0,0,0,0,0,0,0,0,0,0,0,14711,1
1,0,1,0,0,0,0,0,0,0,4,0,518,0
1,0,1,0,3,0,0,0,0,0,0,0,1053,4.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,0,1,0,0,0,0,0,269,0,2310,0
0,0,0,0,0,0,0,0,0,0,0,0,286,0
0,0,0,0,0,0,0,0,0,0,0,0,772,0
0,0,0,0,0,0,0,0,0,0,0,0,120,0
1,0,1,0,0,0,0,0,0,0,194,0,1937,5.5
1,0,1,0,2,0,0,0,0,0,0,0,1869,5.5
0,0,0,0,0,0,0,0,0,0,0,0,163,0
0,0,0,0,10,0,0,0,0,0,0,0,3595,2
0,0,0,0,3,0,0,0,0,0,0,0,1985,1
