@relation final-weka.filters.unsupervised.attribute.Remove-R1

@attribute course numeric
@attribute n_assignment numeric
@attribute n_assignment_a numeric
@attribute n_assignment_s numeric
@attribute n_messages numeric
@attribute n_posts numeric
@attribute n_read numeric
@attribute n_quiz numeric
@attribute n_quiz_a numeric
@attribute n_quiz_s numeric
@attribute n_messages_ap numeric
@attribute total_time_assignment numeric
@attribute total_time_quiz numeric
@attribute total_time_forum numeric
@attribute nota numeric

@data
88,6,0,6,0,0,0,0,0,0,0,1872,0,404,0
88,7,0,7,0,0,0,0,0,0,0,2163,0,0,0
88,6,0,6,0,0,0,0,0,0,0,1496,0,51,0
88,7,0,7,0,0,0,0,0,0,0,1386,0,145,8.5
88,7,0,7,0,0,0,0,0,0,0,2496,0,678,9
88,7,0,7,0,0,0,0,0,0,0,1981,0,151,0
88,7,0,7,0,0,0,0,0,0,0,3053,0,279,5.5
88,7,0,7,0,0,0,0,0,0,0,1757,0,47,0
88,7,0,7,0,0,0,0,0,0,0,3023,0,210,5.25
88,6,0,6,0,0,0,0,0,0,0,1039,0,42,0
88,7,0,7,0,0,0,0,0,0,0,1951,0,159,5.75
88,7,0,7,0,0,0,0,0,0,0,1315,0,0,6.5
88,6,0,6,0,0,0,0,0,0,0,628,0,0,0
88,7,0,7,0,0,0,0,0,0,0,2949,0,10,0
88,7,0,7,0,0,0,0,0,0,0,2106,0,218,8.25
88,7,0,7,0,0,0,0,0,0,0,2431,0,66,5.75
88,7,0,7,0,0,0,0,0,0,0,1710,0,22,0
88,7,0,7,0,0,0,0,0,0,0,1311,0,38,0
88,7,0,7,0,0,0,0,0,0,0,1465,0,275,6.5
88,7,0,7,0,0,0,0,0,0,0,1531,0,0,0
88,6,0,6,0,0,0,0,0,0,0,1242,0,17,0
88,6,0,6,0,0,0,0,0,0,0,1993,0,0,0
88,7,0,7,0,0,0,0,0,0,0,2608,0,0,0
88,7,0,7,0,0,0,0,0,0,0,2218,0,1077,0
88,7,0,7,0,0,0,0,0,0,0,1576,0,243,0
88,6,0,6,0,0,0,0,0,0,0,89,0,246,0
88,7,0,7,0,0,0,0,0,0,0,2982,0,236,0
88,7,0,7,0,0,0,0,0,0,0,3296,0,738,6.25
88,6,0,6,0,0,0,0,0,0,0,54,0,0,0
88,6,0,6,0,0,0,0,0,0,0,920,0,18,0
88,7,0,7,0,0,0,0,0,0,0,1968,0,44,9.25
88,7,0,7,0,0,0,0,0,0,0,2453,0,15,0
88,7,0,7,0,0,0,0,0,0,0,4192,0,128,9
88,11,0,11,0,0,0,0,0,0,0,1291,0,953,0
88,7,0,7,0,0,0,0,0,0,0,2847,0,0,8.5
88,7,0,7,0,0,0,0,0,0,0,3283,0,144,7
88,7,0,7,0,0,0,0,0,0,0,1338,0,128,0
88,10,0,10,0,0,0,0,0,0,0,1385,0,11,0
88,7,0,7,0,0,0,0,0,0,0,2343,0,328,6.25
88,7,0,7,0,0,0,0,0,0,0,2083,0,14,0
88,7,0,7,0,0,0,0,0,0,0,1091,0,0,5.75
88,7,0,7,0,1,0,0,0,0,0,2259,0,648,0
88,7,0,7,0,0,0,0,0,0,0,3088,0,0,8
88,7,0,7,0,1,0,0,0,0,0,1016,0,617,6
88,7,0,7,0,0,0,0,0,0,0,3522,0,90,6
88,7,0,7,0,0,0,0,0,0,0,0,0,0,6
88,7,0,7,0,0,0,0,0,0,0,2200,0,0,0
88,7,0,7,0,0,0,0,0,0,0,3178,0,188,9.5
88,6,0,6,0,0,0,0,0,0,0,1825,0,97,5.75
88,6,0,6,0,0,0,0,0,0,0,1225,0,120,0
88,7,0,7,0,0,0,0,0,0,0,1361,0,23,0
88,7,0,7,0,0,0,0,0,0,0,2756,0,339,6.25
88,7,0,7,0,0,0,0,0,0,0,2256,0,377,8.75
88,6,0,6,0,0,0,0,0,0,0,49,0,0,0
88,7,0,7,0,0,0,0,0,0,0,1934,0,9,6.25
88,7,0,7,0,0,0,0,0,0,0,3766,0,148,6
88,6,0,6,0,0,0,0,0,0,0,2268,0,257,0
88,7,0,7,0,0,0,0,0,0,0,2287,0,64,0
88,7,0,7,0,0,0,0,0,0,0,2734,0,436,0
88,7,0,7,0,0,0,0,0,0,0,1801,0,0,0
88,7,0,7,0,0,0,0,0,0,0,3591,0,428,5.75
88,6,0,6,0,0,0,0,0,0,0,0,0,0,0
88,7,0,7,0,0,0,0,0,0,0,2543,0,92,0
88,7,0,7,0,0,0,0,0,0,0,1801,0,120,5.5
88,6,0,6,0,0,0,0,0,0,0,1428,0,0,0
88,6,0,6,0,0,0,0,0,0,0,1903,0,325,0
88,7,0,7,0,0,0,0,0,0,0,4411,0,139,0
88,7,0,7,0,0,0,0,0,0,0,2933,0,221,0
88,6,0,6,0,0,0,0,0,0,0,1684,0,120,0
88,7,0,7,0,0,0,0,0,0,0,2323,0,208,0
88,7,0,7,0,0,0,0,0,0,0,2382,0,35,0
88,6,0,6,0,0,0,0,0,0,0,508,0,4,0
29,0,0,0,0,0,7,0,0,0,0,0,0,5179,3.5
29,0,0,0,0,0,0,0,0,0,0,0,0,1017,2.5
29,1,0,1,0,2,0,0,0,0,0,0,0,357,3.5
29,0,0,0,0,0,0,0,0,0,0,0,0,683,0
29,0,0,0,0,0,0,0,0,0,0,0,0,124,0
29,1,0,1,0,0,0,0,0,0,0,0,0,545,6
29,1,0,1,0,0,0,0,0,0,0,120,0,0,4
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,1,1,0,0,0,0,0,0,1213,0
29,0,0,0,0,0,0,0,0,0,0,0,0,555,0
29,1,0,1,0,0,0,0,0,0,0,139,0,71,3.5
29,0,0,0,0,0,0,0,0,0,0,0,0,15,0
29,2,0,2,0,1,0,0,0,0,0,177,0,1371,0
29,1,0,1,0,1,0,0,0,0,0,0,0,758,3
29,1,0,1,0,0,0,0,0,0,0,17,0,99,5
29,0,0,0,0,0,0,0,0,0,0,0,0,310,0
29,1,0,1,0,0,0,0,0,0,0,0,0,168,0
29,1,0,1,0,0,0,0,0,0,0,0,0,10341,0
29,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,293,0
29,1,0,1,0,0,0,0,0,0,0,0,0,735,1
29,0,0,0,0,0,0,0,0,0,0,0,0,404,0
29,1,0,1,0,0,0,0,0,0,0,93,0,2531,0
29,2,0,2,0,1,0,0,0,0,0,398,0,3782,5
29,0,0,0,0,0,0,0,0,0,0,0,0,1112,0
29,1,0,1,0,0,0,0,0,0,0,19,0,161,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,5
29,0,0,0,0,0,0,0,0,0,0,0,0,213,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,0,0,0,0,0,0,0,0,541,0
29,1,0,1,0,1,0,0,0,0,0,246,0,1137,5
29,2,0,2,0,1,0,0,0,0,0,169,0,2699,4
29,0,0,0,0,0,0,0,0,0,0,0,0,141,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,2,0,0,0,0,0,0,0,1274,0
