@relation 'final-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S94.0-C1-Lfirst-last-weka.filters.unsupervised.instance.RemoveWithValues-S110.0-C1-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.MergeManyValues-Clast-Lfail-R1,2,3,4,5,6,7,8,9,10,11,12,13-weka.filters.unsupervised.attribute.MergeManyValues-Clast-Lpass-R1,2,3,4,5,6,7,8,9,10,11'

@attribute n_assignment numeric
@attribute n_assignment_a numeric
@attribute n_assignment_s numeric
@attribute n_messages numeric
@attribute n_posts numeric
@attribute n_read numeric
@attribute n_quiz numeric
@attribute n_quiz_a numeric
@attribute n_quiz_s numeric
@attribute n_messages_ap numeric
@attribute total_time_assignment numeric
@attribute total_time_quiz numeric
@attribute total_time_forum numeric
@attribute nota {fail,pass}

@data
0,0,0,0,0,4,0,0,0,0,0,126,688,fail
0,0,0,0,0,4,0,0,0,0,0,203,961,fail
2,0,2,0,0,0,1,1,0,0,0,333,527,pass
0,0,0,0,2,4,0,0,0,0,0,0,478,fail
2,0,2,0,0,4,2,2,0,0,120,497,262,pass
1,0,1,0,0,4,5,3,2,0,7,2338,394,fail
2,0,2,0,4,4,5,5,0,0,544,2090,4370,pass
1,0,1,0,0,4,1,0,1,0,0,523,182,fail
2,0,2,0,0,4,3,3,0,0,21,1633,66,pass
2,0,2,0,0,4,3,1,2,0,65,1248,308,pass
2,0,2,0,1,4,4,4,0,0,120,951,0,pass
1,0,1,0,0,4,1,0,1,0,217,717,0,fail
2,0,2,0,0,4,3,3,0,0,178,1071,504,pass
0,0,0,0,6,4,9,6,3,0,0,1774,5518,fail
2,0,2,0,0,4,13,13,0,0,605,2754,667,fail
2,0,2,0,0,4,4,4,0,0,266,1543,585,fail
2,0,2,0,0,4,8,7,1,0,120,1747,125,pass
2,0,2,0,0,4,2,2,0,0,26,768,0,fail
2,0,2,0,1,4,15,15,0,0,15,2497,2822,fail
2,0,2,0,0,4,2,0,2,0,120,1330,0,fail
2,0,2,0,0,4,5,4,1,0,9,1059,178,pass
0,0,0,0,1,4,0,0,0,0,0,126,2821,fail
2,0,2,0,0,4,3,3,0,0,0,1096,665,pass
1,0,1,0,0,4,7,7,0,0,0,1473,186,pass
2,0,2,0,0,4,16,16,0,0,185,2428,63,pass
2,0,2,0,0,4,3,3,0,0,261,932,1059,pass
2,0,2,0,0,4,6,6,0,0,73,1394,445,pass
0,0,0,0,1,4,0,0,0,0,0,8,466,fail
2,0,2,0,0,4,6,6,0,0,120,1324,496,pass
2,0,2,0,0,4,3,3,0,0,9,0,0,fail
2,0,2,0,1,4,18,18,0,0,121,4148,504,pass
1,0,1,0,0,4,4,3,1,0,0,938,2374,fail
0,0,0,0,0,4,0,0,0,0,120,358,2748,pass
2,0,2,0,0,4,1,0,1,0,182,274,925,pass
1,0,1,0,0,4,2,1,1,0,601,1024,1171,fail
2,0,2,0,0,4,3,2,1,0,120,1026,515,pass
2,0,2,0,0,4,3,3,0,0,5,925,1301,fail
2,0,2,0,0,4,4,3,1,0,29,698,136,pass
2,0,2,0,0,4,10,10,0,0,120,1992,23,pass
2,0,2,0,0,4,3,3,0,0,120,854,422,pass
2,0,2,0,0,4,0,0,0,0,120,316,333,pass
1,0,1,0,0,4,3,1,2,0,0,610,540,pass
2,0,2,0,0,4,10,10,0,0,52,2837,100,pass
2,0,2,0,0,4,7,7,0,0,120,1404,33,pass
0,0,0,0,0,4,4,4,0,0,9,1346,198,fail
2,0,2,0,0,4,1,0,1,0,120,786,0,pass
2,0,2,0,2,4,5,5,0,0,240,1353,1608,fail
2,0,2,0,0,4,12,11,1,0,120,2233,699,pass
2,0,2,0,0,4,5,5,0,0,240,1262,524,fail
0,0,0,0,0,4,6,4,2,0,0,733,284,fail
2,0,2,0,0,4,14,14,0,0,120,2245,255,pass
1,0,1,0,0,4,3,3,0,0,0,990,1045,fail
2,0,2,0,1,4,12,12,0,0,9,1999,1179,pass
1,0,1,0,0,4,1,0,1,0,120,852,0,fail
0,0,0,0,0,4,0,0,0,0,0,208,120,fail
1,0,1,0,0,4,3,3,0,0,66,980,692,pass
1,0,1,0,0,4,3,3,0,0,0,998,29,fail
1,0,1,0,0,4,3,2,1,0,0,1231,1701,fail
2,0,2,0,0,4,3,3,0,0,120,1256,985,pass
0,0,0,0,0,4,0,0,0,0,0,131,21,fail
1,0,1,0,0,4,6,6,0,0,248,1408,81,pass
2,0,2,0,0,4,3,3,0,0,120,1245,327,pass
1,0,1,0,0,4,13,12,1,0,240,1860,375,fail
1,0,1,0,0,4,2,2,0,0,0,643,148,pass
1,0,1,0,0,4,2,1,1,0,0,867,0,pass
1,0,1,0,0,4,6,6,0,0,0,1064,87,pass
