@relation final-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S218.0-C1-Lfirst-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.MergeManyValues-Clast-Lfail-R1-11-weka.filters.unsupervised.attribute.MergeManyValues-Clast-Lpass-R1-10

@attribute n_assignment numeric
@attribute n_assignment_a numeric
@attribute n_assignment_s numeric
@attribute n_messages numeric
@attribute n_posts numeric
@attribute n_read numeric
@attribute n_quiz numeric
@attribute n_quiz_a numeric
@attribute n_quiz_s numeric
@attribute n_messages_ap numeric
@attribute total_time_assignment numeric
@attribute total_time_quiz numeric
@attribute total_time_forum numeric
@attribute nota {fail,pass}

@data
10,0,10,0,1,0,1,1,0,0,415,0,1417,pass
0,0,0,0,0,0,2,2,0,0,0,641,1032,fail
11,0,11,0,1,0,7,5,2,0,890,4667,5414,pass
0,0,0,0,1,0,0,0,0,0,0,360,1120,fail
11,0,11,0,1,0,5,4,1,0,1913,2257,1299,fail
11,0,11,0,0,0,4,4,0,0,1464,1066,921,fail
0,0,0,0,1,0,2,2,0,0,0,504,865,fail
10,0,10,0,1,0,6,5,1,0,831,1574,1828,pass
0,0,0,0,0,0,0,0,0,0,0,129,0,fail
11,0,11,0,2,0,7,7,0,0,764,1687,2123,fail
11,0,11,0,1,0,8,7,1,0,503,4735,4413,pass
10,0,10,0,0,0,2,2,0,0,870,1237,100,fail
10,0,10,0,0,0,6,5,1,0,332,1996,721,pass
0,0,0,0,0,0,2,2,0,0,0,586,6,fail
11,0,11,0,1,0,5,5,0,0,721,1996,269,pass
10,0,10,0,0,0,3,2,1,0,159,2404,1717,fail
11,0,11,0,0,0,5,3,2,0,250,3186,0,pass
0,0,0,0,3,0,6,5,1,0,0,2040,6049,fail
11,0,11,0,2,0,6,6,0,0,533,2215,3215,pass
11,0,11,0,0,0,3,3,0,0,809,0,1137,fail
11,0,11,0,1,0,9,6,3,0,1436,4588,6243,fail
0,0,0,0,0,0,0,0,0,0,0,213,0,pass
0,0,0,0,0,0,0,0,0,0,0,0,0,fail
11,0,11,0,1,0,3,3,0,0,236,1212,1070,pass
0,0,0,0,0,0,0,0,0,0,0,319,1139,fail
9,0,9,0,0,0,0,0,0,0,217,0,455,fail
0,0,0,0,0,0,3,2,1,0,120,1864,1114,fail
11,0,11,0,1,0,9,9,0,0,643,2433,1567,fail
11,0,11,0,1,0,9,8,1,0,62,3134,1778,pass
0,0,0,0,0,0,2,1,1,0,0,1932,0,fail
0,0,0,0,0,0,0,0,0,0,0,0,155,fail
10,0,10,0,2,0,6,6,0,0,1272,2493,0,fail
10,0,10,0,1,0,3,3,0,0,292,1098,367,pass
11,0,11,0,0,0,6,5,1,0,966,2282,1036,fail
11,0,11,0,0,0,5,5,0,0,2160,2566,1198,fail
11,0,11,0,0,0,4,3,1,0,332,1330,568,pass
11,0,11,0,1,0,8,8,0,0,987,2606,0,pass
10,0,10,0,0,0,2,2,0,0,599,700,2180,fail
11,0,11,0,0,0,4,4,0,0,294,1345,909,pass
0,0,0,0,4,0,6,5,1,0,0,2237,2800,fail
0,0,0,0,0,0,4,4,0,0,0,2422,2671,fail
10,0,10,0,1,0,5,4,1,0,212,1537,2149,fail
0,0,0,0,0,0,0,0,0,0,0,0,307,fail
7,0,7,0,2,0,0,0,0,0,1162,251,524,fail
11,0,11,0,0,0,9,9,0,0,294,2449,314,pass
0,0,0,0,0,0,0,0,0,0,0,392,449,fail
10,0,10,0,2,0,3,2,1,0,675,2030,3541,fail
11,0,11,0,2,0,4,3,1,0,794,1345,3091,fail
11,0,11,0,0,0,7,6,1,0,264,2469,2010,pass
10,0,10,0,0,0,6,6,0,0,504,1692,4,pass
11,0,11,0,0,0,2,2,0,0,535,1191,1461,fail
0,0,0,0,0,0,0,0,0,0,0,352,863,fail
11,0,11,0,6,0,6,6,0,0,398,2049,3042,pass
0,0,0,0,0,0,0,0,0,0,0,133,201,fail
10,0,10,0,0,0,5,1,4,0,130,1870,107,fail
11,0,11,0,1,0,7,7,0,0,587,1843,2859,pass
11,0,11,0,1,0,7,6,1,0,1213,3118,0,pass
11,0,11,0,0,0,8,5,3,0,659,2141,844,fail
0,0,0,0,0,0,4,3,1,0,212,1279,660,fail
10,0,10,0,0,0,2,2,0,0,0,601,937,fail
11,0,11,0,3,0,9,7,2,0,374,4601,4826,fail
11,0,11,0,0,0,5,1,4,0,754,0,1378,fail
0,0,0,0,0,0,1,0,1,0,0,770,258,fail
9,0,9,0,0,0,0,0,0,0,856,203,1365,fail
0,0,0,0,0,0,0,0,0,0,0,34,633,fail
11,0,11,0,0,0,4,4,0,0,787,1255,1636,fail
0,0,0,0,0,0,1,0,1,0,0,684,243,fail
10,0,10,0,0,0,1,1,0,0,828,229,255,fail
10,0,10,0,1,0,3,2,1,0,332,1897,2144,fail
0,0,0,0,0,0,4,2,2,0,0,3126,480,fail
11,0,11,0,1,0,7,7,0,0,259,2324,1982,pass
11,0,11,0,0,0,2,1,1,0,424,1623,2279,pass
11,0,11,0,0,0,3,3,0,0,2035,1399,693,fail
0,0,0,0,2,0,0,0,0,0,0,0,998,pass
11,0,11,0,1,0,7,7,0,0,337,2496,2214,pass
10,0,10,0,0,0,6,6,0,0,416,2104,1494,fail
11,0,11,0,0,0,5,5,0,0,1612,2003,1218,fail
0,0,0,0,0,0,0,0,0,0,84,354,1306,fail
10,0,10,0,0,0,5,3,2,0,750,2162,950,pass
11,0,11,0,1,0,7,6,1,0,217,2713,0,fail
