@relation final-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S218.0-C1-Lfirst-last-weka.filters.unsupervised.attribute.Remove-R1

@attribute n_assignment numeric
@attribute n_assignment_a numeric
@attribute n_assignment_s numeric
@attribute n_messages numeric
@attribute n_posts numeric
@attribute n_read numeric
@attribute n_quiz numeric
@attribute n_quiz_a numeric
@attribute n_quiz_s numeric
@attribute n_messages_ap numeric
@attribute total_time_assignment numeric
@attribute total_time_quiz numeric
@attribute total_time_forum numeric
@attribute nota numeric

@data
10,0,10,0,1,0,1,1,0,0,415,0,1417,6
0,0,0,0,0,0,2,2,0,0,0,641,1032,3.5
11,0,11,0,1,0,7,5,2,0,890,4667,5414,6
0,0,0,0,1,0,0,0,0,0,0,360,1120,0
11,0,11,0,1,0,5,4,1,0,1913,2257,1299,0
11,0,11,0,0,0,4,4,0,0,1464,1066,921,3.5
0,0,0,0,1,0,2,2,0,0,0,504,865,0
10,0,10,0,1,0,6,5,1,0,831,1574,1828,6.5
0,0,0,0,0,0,0,0,0,0,0,129,0,0
11,0,11,0,2,0,7,7,0,0,764,1687,2123,3
11,0,11,0,1,0,8,7,1,0,503,4735,4413,5.5
10,0,10,0,0,0,2,2,0,0,870,1237,100,2.5
10,0,10,0,0,0,6,5,1,0,332,1996,721,5.25
0,0,0,0,0,0,2,2,0,0,0,586,6,0
11,0,11,0,1,0,5,5,0,0,721,1996,269,7
10,0,10,0,0,0,3,2,1,0,159,2404,1717,2
11,0,11,0,0,0,5,3,2,0,250,3186,0,7.5
0,0,0,0,3,0,6,5,1,0,0,2040,6049,0
11,0,11,0,2,0,6,6,0,0,533,2215,3215,5
11,0,11,0,0,0,3,3,0,0,809,0,1137,2.5
11,0,11,0,1,0,9,6,3,0,1436,4588,6243,0
0,0,0,0,0,0,0,0,0,0,0,213,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,11,0,1,0,3,3,0,0,236,1212,1070,7.25
0,0,0,0,0,0,0,0,0,0,0,319,1139,3.25
9,0,9,0,0,0,0,0,0,0,217,0,455,2.75
0,0,0,0,0,0,3,2,1,0,120,1864,1114,0
11,0,11,0,1,0,9,9,0,0,643,2433,1567,2.5
11,0,11,0,1,0,9,8,1,0,62,3134,1778,7.25
0,0,0,0,0,0,2,1,1,0,0,1932,0,0
0,0,0,0,0,0,0,0,0,0,0,0,155,0
10,0,10,0,2,0,6,6,0,0,1272,2493,0,2.5
10,0,10,0,1,0,3,3,0,0,292,1098,367,6
11,0,11,0,0,0,6,5,1,0,966,2282,1036,2.5
11,0,11,0,0,0,5,5,0,0,2160,2566,1198,3.5
11,0,11,0,0,0,4,3,1,0,332,1330,568,5.5
11,0,11,0,1,0,8,8,0,0,987,2606,0,5.5
10,0,10,0,0,0,2,2,0,0,599,700,2180,3.75
11,0,11,0,0,0,4,4,0,0,294,1345,909,7.5
0,0,0,0,4,0,6,5,1,0,0,2237,2800,0
0,0,0,0,0,0,4,4,0,0,0,2422,2671,3.5
10,0,10,0,1,0,5,4,1,0,212,1537,2149,0
0,0,0,0,0,0,0,0,0,0,0,0,307,0
7,0,7,0,2,0,0,0,0,0,1162,251,524,0
11,0,11,0,0,0,9,9,0,0,294,2449,314,5.5
0,0,0,0,0,0,0,0,0,0,0,392,449,1.5
10,0,10,0,2,0,3,2,1,0,675,2030,3541,3.5
11,0,11,0,2,0,4,3,1,0,794,1345,3091,3.5
11,0,11,0,0,0,7,6,1,0,264,2469,2010,5.5
10,0,10,0,0,0,6,6,0,0,504,1692,4,6
11,0,11,0,0,0,2,2,0,0,535,1191,1461,2
0,0,0,0,0,0,0,0,0,0,0,352,863,2.5
11,0,11,0,6,0,6,6,0,0,398,2049,3042,7.5
0,0,0,0,0,0,0,0,0,0,0,133,201,0
10,0,10,0,0,0,5,1,4,0,130,1870,107,4
11,0,11,0,1,0,7,7,0,0,587,1843,2859,8
11,0,11,0,1,0,7,6,1,0,1213,3118,0,6.75
11,0,11,0,0,0,8,5,3,0,659,2141,844,1
0,0,0,0,0,0,4,3,1,0,212,1279,660,3.25
10,0,10,0,0,0,2,2,0,0,0,601,937,4
11,0,11,0,3,0,9,7,2,0,374,4601,4826,2
11,0,11,0,0,0,5,1,4,0,754,0,1378,0
0,0,0,0,0,0,1,0,1,0,0,770,258,0
9,0,9,0,0,0,0,0,0,0,856,203,1365,0
0,0,0,0,0,0,0,0,0,0,0,34,633,0
11,0,11,0,0,0,4,4,0,0,787,1255,1636,3
0,0,0,0,0,0,1,0,1,0,0,684,243,0
10,0,10,0,0,0,1,1,0,0,828,229,255,0
10,0,10,0,1,0,3,2,1,0,332,1897,2144,0
0,0,0,0,0,0,4,2,2,0,0,3126,480,0
11,0,11,0,1,0,7,7,0,0,259,2324,1982,5.5
11,0,11,0,0,0,2,1,1,0,424,1623,2279,5
11,0,11,0,0,0,3,3,0,0,2035,1399,693,4
0,0,0,0,2,0,0,0,0,0,0,0,998,5
11,0,11,0,1,0,7,7,0,0,337,2496,2214,5.5
10,0,10,0,0,0,6,6,0,0,416,2104,1494,3.25
11,0,11,0,0,0,5,5,0,0,1612,2003,1218,2.5
0,0,0,0,0,0,0,0,0,0,84,354,1306,0
10,0,10,0,0,0,5,3,2,0,750,2162,950,5
11,0,11,0,1,0,7,6,1,0,217,2713,0,3
