@relation 'litere-weka.filters.unsupervised.attribute.Remove-R1-2,11,18-19-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O1.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R21-22-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R21'

@attribute TOTALSES numeric
@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute TOTALQUEST numeric
@attribute GOODQUEST numeric
@attribute QUESTPERC numeric
@attribute TOTALHW numeric
@attribute MEAN_TOTALHW_GRADE numeric
@attribute MEAN_HOMEWORKS_GRADE numeric

@data
0,0,0,0,0,0,0,0,0,14,0,466,0,374,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,2,0,0,0,62,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,33,4,12,0,0,0
1,0,0,0,0,1,0,0,0,2,0,0,0,62,184,62,33,0,0,0
6,1,1,0,3,1,0,0,0,0,0,0,0,0,146,67,45,0,0,0
0,0,0,0,0,0,0,0,0,9,0,188,0,189,2,0,0,0,0,0
2,1,0,0,0,0,0,1,0,8,0,149,0,157,148,50,33,0,0,0
1,0,0,1,0,0,0,0,0,9,0,387,0,207,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,14,0,332,0,335,61,17,27,0,0,0
1,0,0,1,0,0,0,0,0,6,0,89,0,197,61,17,27,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,148,50,33,0,0,0
2,0,0,0,0,2,0,0,0,0,0,0,0,0,33,4,12,0,0,0
3,0,1,0,0,2,0,0,0,0,0,0,0,0,33,4,12,0,0,0
3,0,1,0,0,2,0,0,0,0,0,0,0,0,61,17,27,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,226,105,46,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,0,330,0,244,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,0,321,0,209,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,294,0,185,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
