@relation 'litere-weka.filters.unsupervised.attribute.Remove-R1-2,11,18-19-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O7.3-E8.7-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21'

@attribute TOTALSES numeric
@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute TOTALQUEST numeric
@attribute GOODQUEST numeric
@attribute QUESTPERC numeric
@attribute TOTALHW numeric
@attribute MEAN_TOTALHW_GRADE numeric
@attribute MEAN_HOMEWORKS_GRADE numeric

@data
0,0,0,0,0,0,0,0,0,14,0,466,0,374,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,2,0,0,0,62,184,62,33,0,0,0
21,1,3,6,4,2,4,1,0,4,0,61,0,53,442,182,41,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,33,4,12,0,0,0
1,0,0,0,0,1,0,0,0,2,0,0,0,62,184,62,33,0,0,0
6,1,1,0,3,1,0,0,0,0,0,0,0,0,146,67,45,0,0,0
7,1,1,1,2,1,1,0,0,0,0,0,0,0,469,200,42,0,0,0
0,0,0,0,0,0,0,0,39,12,10,290,809,251,1379,1080,78,0,0,0
0,0,0,0,0,0,0,0,5,7,0,191,125,137,1379,1080,78,0,0,0
0,0,0,0,0,0,0,0,0,9,0,188,0,189,2,0,0,0,0,0
2,1,0,0,0,0,0,1,0,8,0,149,0,157,148,50,33,0,0,0
1,0,0,1,0,0,0,0,0,9,0,387,0,207,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,14,0,332,0,335,61,17,27,0,0,0
1,0,0,1,0,0,0,0,0,6,0,89,0,197,61,17,27,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,148,50,33,0,0,0
11,2,5,2,0,1,0,1,0,0,0,0,0,0,72,9,12,0,0,0
2,0,0,0,0,2,0,0,0,0,0,0,0,0,33,4,12,0,0,0
3,0,1,0,0,2,0,0,0,0,0,0,0,0,33,4,12,0,0,0
20,1,0,2,2,10,4,1,0,2,0,0,0,39,442,182,41,0,0,0
3,0,1,0,0,2,0,0,0,0,0,0,0,0,61,17,27,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,2153,1257,58,0,0,0
3,1,0,0,2,0,0,0,0,0,0,0,0,0,1407,890,63,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1379,1080,78,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,226,105,46,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,0,330,0,244,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,0,321,0,209,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,294,0,185,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,0,335,0,209,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,0,288,0,223,1379,1080,78,0,0,0
97,12,14,11,9,14,26,11,1,14,0,361,26,289,1379,1080,78,0,0,0
32,3,5,4,6,8,4,2,0,12,0,333,0,240,1379,1080,78,0,0,0
81,15,12,7,10,12,13,12,12,11,183,258,319,225,1407,890,63,6,0,0
241,8,51,62,26,33,35,26,1,15,0,301,21,303,1379,1080,78,0,0,0
