@relation schlvote-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute tax_rate numeric
@attribute budget numeric
@attribute budget_change numeric
@attribute tax_rate_change numeric
@attribute wealth_per_student {166707,179912,198842,202826,243989,298552,307885,330938,354447,378682,380638,386680,412631,413879,420457,436638,444942,454498,507388,513339,532515,556642,606997,618933,707046,804981,834036,915370,966718,1110801,1189569,1209936,1238269,2106643,2981029,3713600,6872670}

@data
47.18,47532280,4,6.3,378682
21.64,11637417,3.3,4.1,444942
24.05,59856099,3.4,2.5,380638
20.93,26926416,9.4,7.5,330938
19.32,11686005,11.1,5.2,436638
26.2,38641360,4.5,-0.23,915370
20.09,13882048,4.7,1.7,412631
42.16,40298680,5.9,4.9,618933
29.11,35400375,3,3.5,1189569
45.96,30314067,3.8,3.7,532515
21.56,15418131,1.9,3.8,420457
15.55,11997930,6.6,8.1,606997
23.77,17130165,6,8.1,354447
27.64,10502721,4.8,7.5,307885
28.12,33616668,8.9,7.7,1110801
36.74,53999209,3.6,5.3,507388
40.48,48119900,0,1.9,513339
21.83,68400604,5.5,4,413879
20.05,15919780,8.3,10.4,386680
20.86,9499412,4.4,4.5,454498
19.99,12635368,2.9,3.5,556642
11.74,2862323,4.3,4.4,6872670
17.71,5670720,4.9,3.6,3713600
6.35,76466312,1.9,4.6,298552
41.79,7649906,4.2,4.5,834036
28.25,13926965,5,6.2,804981
36.18,13162830,4.6,5.9,966718
80.7,23056816,4.8,6.6,198842
99.56,23640880,7.4,8.6,179912
87.97,85184456,9.9,29.3,166707
71.57,20281917,-0.2,-0.2,707046
87.53,25719696,4,3.8,202826
5.07,866746,18.9,1.6,?
7.71,36263806,3.5,4.9,243989
15.49,4606127,5.9,17.5,2981029
13.4,21729978,6.6,4.7,2106643
28.07,8785345,4.8,3.8,1238269
30.23,7543792,9.6,7,1209936
