@relation strike-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute year numeric
@attribute unemployment numeric
@attribute inflation numeric
@attribute representation numeric
@attribute centralization numeric
@attribute volume {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,52,54,56,57,58,59,60,61,62,63,64,66,68,69,70,71,72,73,74,75,76,80,81,82,84,86,88,89,90,93,94,95,96,97,98,100,101,103,104,105,106,107,109,112,114,115,117,118,119,122,127,128,129,131,133,134,135,139,141,142,143,146,149,151,152,153,155,157,158,160,166,167,168,170,171,173,174,175,176,177,178,179,181,182,183,184,186,187,189,191,192,195,196,197,198,203,207,208,210,211,215,216,217,220,225,226,227,228,232,235,237,239,241,242,243,248,249,251,252,255,257,259,260,262,265,266,267,271,272,273,277,279,281,282,284,286,288,289,291,294,296,298,299,300,303,306,311,313,315,317,319,323,324,325,326,327,328,335,336,337,341,352,354,356,360,361,362,363,366,370,372,373,379,380,381,382,383,385,390,393,397,399,400,403,407,408,410,413,416,421,434,437,438,439,448,454,456,462,466,470,472,480,483,488,493,501,503,504,511,515,520,521,527,529,545,557,559,571,574,589,591,605,612,615,616,618,625,632,633,636,645,647,668,675,684,702,705,719,720,723,732,752,754,760,762,765,773,778,779,789,792,794,796,803,807,826,836,841,849,888,894,930,934,940,945,946,961,1032,1041,1056,1061,1080,1098,1108,1121,1125,1129,1149,1150,1163,1190,1236,1245,1252,1256,1272,1278,1303,1304,1310,1359,1381,1405,1437,1453,1486,1566,1632,1698,1752,1774,1799,1870,1918,2001,2462,2875,5568,5918,7000}

@data
1951,1.3,19.8,43,0.375,296
1952,2.2,17.2,43,0.375,397
1953,2.5,4.3,43,0.375,360
1954,1.7,0.7,47,0.375,300
1955,1.4,2,38.5,0.375,326
1956,1.8,6.3,38.5,0.375,352
1957,2.3,2.5,38.5,0.375,195
1958,2.7,1.3,36.9,0.375,133
1959,2.6,1.8,36.9,0.375,109
1960,2.5,3.8,36.9,0.375,208
1961,2.5,2.5,49.2,0.375,173
1962,2.6,-0.3,49.2,0.375,142
1963,2.1,0.5,41,0.375,158
1964,1.6,2.4,41,0.375,243
1965,1.5,4,41,0.375,211
1966,1.7,3,33.1,0.375,183
1967,1.9,3.2,33.1,0.375,168
1968,1.8,2.7,33.1,0.375,249
1969,1.8,2.9,47.2,0.375,439
1970,1.6,3.9,47.2,0.375,515
1971,1.9,6.1,47.2,0.375,645
1972,2.6,5.9,53.6,0.375,416
1973,2.3,9.5,53.6,0.375,527
1974,2.6,15.1,52,0.375,1252
1975,4.8,15.1,28.3,0.375,702
1976,4.7,13.5,28.3,0.375,760
1977,5.6,12.3,30.7,0.375,328
1978,6.4,7.9,30.7,0.375,421
1979,6.1,9.1,30.7,0.375,778
1980,6,10.1,40.8,0.375,633
1981,5.7,9.7,40.8,0.375,779
1982,7,11.2,40.8,0.375,370
1983,9.8,10.1,60,0.375,313
1984,8.9,4,55.4,0.375,241
1985,8.2,6.7,55.4,0.375,226
1951,3.5,27.5,43.6,1,43
1952,4.7,13.6,43.6,1,39
1953,5.8,-1.6,46.7,1,20
1954,4.9,4,46.7,1,26
1955,3.6,0,46.7,1,28
1956,3.5,3.9,46.7,1,72
1957,3.3,2.8,46.7,1,21
1958,3.6,2,46.7,1,22
1959,3.3,1.1,47.3,1,23
1960,2.5,2,47.3,1,30
1961,2,3.5,47.3,1,49
1962,1.9,4.4,46.1,1,277
1963,2.1,2.7,46.1,1,15
1964,1.9,3.9,46.1,1,15
1965,1.9,4.9,46.1,1,64
1966,1.8,2.2,47.9,1,30
1967,1.8,4,47.9,1,7
1968,2,2.8,47.9,1,3
1969,1.8,3.1,47.9,1,8
1970,1.5,4.4,49.1,1,11
1971,1.2,4.7,49.1,1,2
1972,1.1,6.4,50.8,1,6
1973,1,7.5,50.8,1,61
1974,1.1,9.5,50.8,1,3
1975,1.7,8.5,50.8,1,2
