@relation edb-weka.filters.unsupervised.attribute.Remove-R34-35-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C24-Lfirst-last

@attribute TOTALSES numeric
@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute WEEKENDPCT numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute GENDER numeric
@attribute AGE numeric
@attribute TOTALQUEST numeric
@attribute GOODQUEST numeric
@attribute QUESTPERC numeric
@attribute TOTALHW numeric
@attribute MEAN_TOTALHW_GRADE numeric
@attribute MEAN_HOMEWORKS_GRADE numeric
@attribute NumberOfSessions numeric
@attribute NumberOfTests numeric
@attribute PassedTests numeric

@data
71,7,10,9,8,9,12,16,0.651163,1,3,0,442,25,139,0,46,0,123,0,0,0,0,10,235,206
126,20,19,19,12,23,7,26,0.354839,0,5,0,339,0,210,0,40,104,123,118,0,0,0,21,163,76
28,2,2,6,10,3,2,3,0.217391,0,5,0,339,0,210,0,26,0,123,0,0,0,0,9,3,0
148,16,26,20,24,22,18,22,0.37037,563,0,0,0,27128,0,1,28,1,123,12300,0,0,0,38,3,0
35,4,2,5,7,10,3,4,0.25,0,5,0,339,0,210,0,22,40,123,307,0,0,0,2,45,31
22,6,4,2,3,1,3,3,0.375,4,5,211,339,109,210,1,37,0,123,0,0,0,0,1,1,1
30,2,0,7,2,9,3,7,0.5,0,3,0,16,0,141,1,41,0,290,0,0,0,0,10,0,0
73,11,11,18,16,9,4,4,0.123077,0,0,0,0,0,0,0,38,5,123,2460,0,0,0,15,16,3
178,38,37,28,29,30,9,7,0.098765,15,2,5,25,406,123,0,46,50,123,246,0,0,0,58,163,58
112,16,17,24,14,15,15,11,0.302326,1,5,0,44,40,207,0,23,117,106,90,0,0,0,22,241,193
21,2,3,2,4,3,5,2,0.5,4,4,-9,60,202,262,0,23,0,106,0,0,0,0,2,3,0
27,6,8,4,0,8,1,0,0.038462,0,4,0,104,0,184,0,24,0,106,0,0,0,0,1,0,0
40,7,0,10,1,13,8,1,0.290323,8,4,0,210,176,189,1,31,0,2,0,0,0,0,2,5,0
109,17,13,16,17,17,15,14,0.3625,0,3,0,57,0,154,1,39,1,106,10600,0,0,0,11,1,0
30,9,8,1,6,3,2,1,0.111111,0,4,0,104,0,184,0,30,0,106,0,0,0,0,18,2,0
108,21,6,19,23,21,8,10,0.2,2,3,0,57,34,154,0,26,0,106,0,0,0,0,21,1,0
101,18,19,18,8,16,15,7,0.278481,13,6,19,29,272,283,1,30,1,2,200,0,0,0,27,9,4
44,1,7,9,12,3,6,6,0.375,7,4,119,210,253,189,0,22,0,2,0,0,0,0,25,1,0
37,7,5,4,8,5,3,5,0.275862,0,4,0,210,0,189,1,25,0,2,0,0,0,0,1,2,0
52,11,8,4,6,7,5,11,0.444444,17,3,4,69,428,159,1,50,0,2,0,0,0,0,10,19,11
29,3,10,2,4,3,3,4,0.318182,1,3,0,69,55,159,1,25,0,2,0,0,0,0,12,3,0
14,1,1,3,1,1,4,3,1,0,3,0,16,0,141,0,23,4,223,5575,0,0,0,1,4,1
40,4,5,4,3,9,11,4,0.6,3,5,454,369,49,184,1,36,1,2,200,0,0,0,4,50,29
9,0,3,2,3,1,0,0,0,1,3,0,69,32,159,0,28,0,2,0,0,0,0,1,0,0
17,2,1,2,4,3,4,1,0.416667,0,4,0,210,0,189,0,30,0,2,0,0,0,0,6,0,0
22,8,6,3,2,2,1,0,0.047619,0,4,0,150,0,189,1,27,0,2,0,0,0,0,2,4,1
28,6,5,4,5,8,0,0,0,2,1,0,0,170,75,0,35,4,7,175,0,0,0,5,4,0
13,0,1,1,3,7,1,0,0.083333,0,3,0,263,0,153,1,23,0,7,0,0,0,0,1,0,0
2,0,0,0,0,2,0,0,0,0,3,0,263,0,153,1,40,0,7,0,0,0,0,1,1,0
27,7,3,4,5,7,1,0,0.038462,0,2,0,25,0,123,0,45,0,7,0,0,0,0,2,0,0
37,14,4,4,8,7,0,0,0,0,3,0,263,0,153,0,52,0,7,0,0,0,0,9,2,0
5,1,0,0,0,4,0,0,0,0,3,0,263,0,153,1,46,0,7,0,0,0,0,3,0,0
26,1,6,2,10,5,2,0,0.083333,0,2,0,25,0,123,0,49,0,7,0,0,0,0,2,0,0
69,13,13,4,6,16,13,4,0.326923,1,5,0,239,112,197,0,21,0,290,0,4,0,0,19,0,0
14,2,3,2,3,2,1,1,0.166667,36,4,-116,104,972,184,0,23,0,106,0,0,0,0,1,0,0
33,6,2,0,17,3,3,2,0.178571,0,4,0,210,0,189,1,22,0,2,0,0,0,0,1,0,0
12,3,2,1,1,0,1,4,0.714286,0,3,0,16,0,141,0,28,0,2,0,0,0,0,2,1,0
19,4,5,1,4,2,3,0,0.1875,0,3,0,16,0,141,1,29,3,2,66,0,0,0,1,3,0
18,6,1,1,3,4,3,0,0.2,0,3,0,263,0,153,0,33,0,7,0,0,0,0,1,0,0
224,45,35,48,22,37,20,17,0.197861,0,3,0,263,0,153,1,31,0,0,0,12,0,0,103,160,64
94,17,21,15,13,17,3,8,0.13253,1,3,0,243,42,145,0,50,10,290,2900,12,0,0,35,97,69
101,8,20,14,9,9,12,29,0.683333,2,6,8,219,94,285,0,37,4,290,7250,14,0,0,30,96,69
19,1,5,2,3,5,1,2,0.1875,0,5,0,239,0,198,0,34,0,290,0,8,0,0,10,0,0
24,2,4,10,2,5,1,0,0.043478,0,4,0,276,0,182,0,24,0,290,0,0,0,0,13,0,0
27,2,1,0,1,6,14,3,1.7,0,3,0,16,0,141,0,32,0,123,0,0,0,0,11,0,0
22,3,4,3,4,2,3,3,0.375,15,5,4,245,391,197,1,28,0,290,0,0,0,0,5,6,0
4,2,0,2,0,0,0,0,0,0,3,0,16,0,141,0,46,0,123,0,0,0,0,1,0,0
44,9,2,2,5,4,10,12,1,51,5,8,219,1578,208,0,26,0,290,0,14,0,0,9,25,1
49,15,8,6,7,1,5,7,0.324324,15,5,3,245,408,219,0,27,0,290,0,8,0,0,13,3,1
83,11,11,14,14,11,7,15,0.360656,1,5,0,226,24,204,0,46,26,290,1115,14,0,0,33,100,71
64,13,6,4,8,8,16,9,0.641026,627,0,5,0,45383,0,0,35,0,290,0,0,0,0,24,0,0
33,5,2,5,7,7,4,3,0.269231,10,2,48,25,270,123,0,29,0,290,0,2,0,0,5,32,31
43,8,6,6,0,5,6,12,0.72,0,4,0,271,0,168,0,23,18,290,1611,0,0,0,8,25,11
24,6,1,6,1,7,2,1,0.142857,16,6,113,218,424,231,1,21,0,290,0,0,0,0,2,11,6
15,3,0,2,3,2,3,2,0.5,7,3,0,285,182,152,0,22,0,290,0,0,0,0,3,2,0
111,18,15,13,6,18,17,24,0.585714,1,4,0,252,31,159,1,50,0,290,0,12,0,0,43,49,28
11,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,223,0,0,0,0,6,0,0
159,32,36,29,33,26,2,1,0.019231,3,5,83,239,125,277,1,50,209,223,106,6,0,0,41,592,491
42,10,7,2,10,8,3,2,0.135135,4,6,9,239,346,239,0,30,0,223,0,0,0,0,2,2,0
7,0,3,1,0,1,2,0,0.4,0,4,0,214,0,172,0,33,0,223,0,0,0,0,2,2,0
