@relation litere

@attribute TOTALSES numeric
@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute WEEKENDPCT numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute GENDER numeric
@attribute AGE numeric
@attribute TOTALQUEST numeric
@attribute GOODQUEST numeric
@attribute QUESTPERC numeric
@attribute TOTALHW numeric
@attribute MEAN_TOTALHW_GRADE numeric
@attribute MEAN_HOMEWORKS_GRADE numeric

@data
0,0,0,0,0,0,0,0,0,0,14,0,466,0,374,1,38,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,0,2,0,0,0,62,1,35,184,62,33,0,0,0
21,1,3,6,4,2,4,1,0.3125,0,4,0,61,0,53,1,32,442,182,41,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25,33,4,12,0,0,0
1,0,0,0,0,1,0,0,0,0,2,0,0,0,62,1,104,184,62,33,0,0,0
6,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,104,146,67,45,0,0,0
7,1,1,1,2,1,1,0,0.166667,0,0,0,0,0,0,1,104,469,200,42,0,0,0
0,0,0,0,0,0,0,0,0,39,12,10,290,809,251,0,28,1379,1080,78,0,0,0
0,0,0,0,0,0,0,0,0,5,7,0,191,125,137,0,33,1379,1080,78,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,188,0,189,0,23,2,0,0,0,0,0
2,1,0,0,0,0,0,1,1,0,8,0,149,0,157,0,25,148,50,33,0,0,0
1,0,0,1,0,0,0,0,0,0,9,0,387,0,207,1,26,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,14,0,332,0,335,1,32,61,17,27,0,0,0
1,0,0,1,0,0,0,0,0,0,6,0,89,0,197,0,28,61,17,27,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,24,148,50,33,0,0,0
11,2,5,2,0,1,0,1,0.1,0,0,0,0,0,0,1,27,72,9,12,0,0,0
2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,27,33,4,12,0,0,0
3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,104,33,4,12,0,0,0
20,1,0,2,2,10,4,1,0.333333,0,2,0,0,0,39,1,25,442,182,41,0,0,0
3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,104,61,17,27,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,104,2153,1257,58,0,0,0
3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,104,1407,890,63,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104,1379,1080,78,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,104,226,105,46,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,315,0,258,1,30,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,330,0,244,1,38,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,315,0,258,1,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,315,0,258,1,33,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,315,0,258,1,38,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,315,0,258,1,43,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,315,0,258,1,33,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,44,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,315,0,258,0,46,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,315,0,258,1,31,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,41,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,24,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,28,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,321,0,209,0,24,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,26,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,0,294,0,185,1,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,24,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,39,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,26,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,25,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,27,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,25,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,24,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,29,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,24,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,335,0,209,0,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,29,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,41,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,288,0,223,0,33,1379,1080,78,0,0,0
97,12,14,11,9,14,26,11,0.616667,1,14,0,361,26,289,0,38,1379,1080,78,0,0,0
32,3,5,4,6,8,4,2,0.230769,0,12,0,333,0,240,1,27,1379,1080,78,0,0,0
81,15,12,7,10,12,13,12,0.446429,12,11,183,258,319,225,1,24,1407,890,63,6,0,0
241,8,51,62,26,33,35,26,0.338889,1,15,0,301,21,303,0,23,1379,1080,78,0,0,0
0,0,0,0,0,0,0,0,0,0,13,0,375,0,264,0,30,1407,890,63,0,0,0
40,7,1,5,7,7,8,5,0.481481,4,14,0,360,168,294,0,24,1379,1080,78,0,0,0
3,0,0,2,1,0,0,0,0,0,16,0,372,0,316,1,27,1407,890,63,0,0,0
29,0,9,3,8,3,6,0,0.26087,0,12,0,333,0,240,1,24,1379,1080,78,0,0,0
15,4,3,3,1,3,0,1,0.071429,3246,10,5,128,72868,227,1,26,1407,890,63,0,0,0
16,0,3,2,4,7,0,0,0,0,15,0,379,0,310,0,34,1407,890,63,0,0,0
203,28,30,31,37,33,32,12,0.27673,2,2,0,218,112,43,1,47,1379,1080,78,0,0,0
0,0,0,0,0,0,0,0,0,0,15,0,379,0,310,1,24,1407,890,63,0,0,0
167,39,23,16,27,30,20,12,0.237037,5,14,200,342,139,265,0,34,1379,1080,78,0,0,0
111,16,9,20,22,19,17,8,0.290698,3,5,0,334,161,163,0,38,1379,1080,78,0,0,0
7,2,1,1,3,0,0,0,0,0,6,0,217,0,114,1,28,1379,1080,78,0,0,0
76,14,14,13,7,20,6,2,0.117647,5,14,57,360,77,294,0,23,1379,1080,78,0,0,0
240,30,34,39,29,37,26,45,0.420118,1,11,0,368,43,222,0,50,1379,1080,78,0,0,0
937,134,157,155,158,137,105,91,0.264507,1588,6,0,225,19079,112,0,34,1379,1080,78,0,0,0
58,5,15,8,9,10,5,6,0.234043,4,14,63,329,285,425,1,32,1379,1080,78,0,0,0
118,10,11,15,17,34,22,9,0.356322,7,13,50,354,170,252,1,25,1379,1080,78,0,0,0
0,0,0,0,0,0,0,0,0,0,14,0,385,0,299,0,23,1407,890,63,0,0,0
358,57,60,54,40,49,53,45,0.376923,46,12,101,333,1275,240,0,23,1379,1080,78,0,0,0
268,37,41,51,31,53,34,21,0.258216,4,13,326,351,87,254,0,29,1379,1080,78,0,0,0
105,17,9,17,13,21,17,11,0.363636,1,14,0,355,30,264,0,28,1379,1080,78,0,0,0
157,23,32,25,19,25,16,17,0.266129,2,2,2,671,56,75,0,23,1379,1080,78,0,0,0
122,27,29,21,16,11,12,6,0.173077,3,4,-3,313,55,50,0,36,1379,1080,78,0,0,0
149,9,16,41,25,39,10,9,0.146154,1,3,0,367,18,76,0,40,1379,1080,78,0,0,0
114,22,13,12,18,11,24,14,0.5,8,7,37,213,225,154,0,28,1379,1080,78,0,0,0
4,0,2,1,1,0,0,0,0,0,13,0,351,0,280,1,24,1379,1080,78,0,0,0
39,11,6,8,3,3,5,3,0.258065,0,12,0,377,0,214,0,43,1407,890,63,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,22,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,35,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,43,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,328,0,208,0,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,30,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,23,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,9,0,270,0,199,1,34,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,24,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,35,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,25,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,42,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,40,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,29,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,9,0,270,0,199,0,25,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,28,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,25,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,1,37,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,0,294,0,185,1,27,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,24,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,38,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,39,0,0,0,0,0,0
39,8,4,5,5,7,5,5,0.344828,28,13,0,379,700,331,0,28,61,17,27,0,0,0
